# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:a                      3:proper time [Gyr]      4:conf. time [Mpc]       5:H [1/Mpc]              6:comov. dist.           7:ang.diam.dist.         8:lum. dist.             9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)number_ncdm[0]     14:(.)rho_ncdm[0]        15:(.)p_ncdm[0]          16:(.)number_ncdm[1]     17:(.)rho_ncdm[1]        18:(.)p_ncdm[1]          19:(.)rho_lambda         20:(.)rho_ur             21:(.)rho_crit           22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       1.000000000000e+14       1.000000000000e-14       7.557728237179e-26       4.634785000235e-09       2.157767302906e+22       1.413985694611e+04       1.413985694611e-10       1.413985694611e+18       2.675683649540e-09       2.751560535470e+44       2.484547575168e+33       1.332954767152e+34       4.013203969100e+29       1.266929061238e+44       4.223096870792e+43       2.006601984550e+29       6.334645306189e+43       2.111548435396e+43       3.453080871730e-08       4.005606003904e+41       4.655959733488e+44       4.655959733488e+44       1.551986577777e+44      -1.339530356830e+53       5.657868015736e-20       2.000000000000e+14 
       9.930486593843e+13       1.007000000000e-14       7.663906761183e-26       4.667526809499e-09       2.127872817690e+22       1.413985694611e+04       1.423883594473e-10       1.404156598422e+18       2.694413435087e-09       2.675846458098e+44       2.433094099690e+33       1.305350081249e+34       3.930092945558e+29       1.232067256916e+44       4.106890856387e+43       1.965046472779e+29       6.160336284580e+43       2.053445428193e+43       3.453080871730e-08       3.895384637160e+41       4.527842728264e+44       4.527842728264e+44       1.509280909370e+44      -1.293615490422e+53       7.893420369894e-08       1.433565615564e+02 
       9.861456399050e+13       1.014049000000e-14       7.771576987271e-26       4.700268618762e-09       2.098392501438e+22       1.413985694611e+04       1.433850779634e-10       1.394395827628e+18       2.713274329132e-09       2.602215788102e+44       2.382706194526e+33       1.278317071672e+34       3.848703100977e+29       1.198164737086e+44       3.993882456954e+43       1.924351550488e+29       5.990823685431e+43       1.996941228477e+43       3.453080871730e-08       3.788196207173e+41       4.403251090090e+44       4.403251090090e+44       1.467750363313e+44      -1.249274440499e+53       1.578684073978e-07       7.167828077820e+01 
       9.792906056653e+13       1.021147343000e-14       7.880759872365e-26       4.733010428026e-09       2.069320616102e+22       1.413985694611e+04       1.443887735092e-10       1.384702907277e+18       2.732267249436e-09       2.530611196824e+44       2.333361792360e+33       1.251843899350e+34       3.768998790781e+29       1.165195105331e+44       3.883983684435e+43       1.884499395391e+29       5.825975526653e+43       1.941991842218e+43       3.453080871730e-08       3.683957257301e+41       4.282087812226e+44       4.282087812226e+44       1.427362604026e+44      -1.206453261607e+53       2.368026110967e-07       4.778552051880e+01 
       9.724832231036e+13       1.028295374401e-14       7.991476667812e-26       4.765752237290e-09       2.040651503135e+22       1.413985694611e+04       1.453994949237e-10       1.375077365717e+18       2.751393120182e-09       2.460976933110e+44       2.285039282877e+33       1.225918970392e+34       3.690945108576e+29       1.133132691576e+44       3.777108971921e+43       1.845472554288e+29       5.665663457882e+43       1.888554485961e+43       3.453080871730e-08       3.582586627356e+41       4.164258557247e+44       4.164258557247e+44       1.388086185701e+44      -1.165099857370e+53       3.157368147956e-07       3.583914038910e+01 
       9.657231609767e+13       1.035493442022e-14       8.103748923518e-26       4.798494046554e-09       2.012379582382e+22       1.413985694611e+04       1.464172913882e-10       1.365518734575e+18       2.770652872023e-09       2.393258779894e+44       2.237717503297e+33       1.200530931012e+34       3.614507870855e+29       1.101952532108e+44       3.673175107028e+43       1.807253935427e+29       5.509762660541e+43       1.836587553514e+43       3.453080871730e-08       3.484005390419e+41       4.049671583589e+44       4.049671583589e+44       1.349890527816e+44      -1.125163917113e+53       3.946710184944e-07       2.867131231128e+01 
       9.590100903443e+13       1.042741896116e-14       8.217598492144e-26       4.833054845221e-09       1.984499351000e+22       1.413985694611e+04       1.474422124279e-10       1.356026548734e+18       2.790047442127e-09       2.327404011992e+44       2.191375729112e+33       1.175668662551e+34       3.539653602032e+29       1.071630350132e+44       3.572101167106e+43       1.769826801016e+29       5.358151750659e+43       1.786050583553e+43       3.453080871730e-08       3.388136791385e+41       3.938237674121e+44       3.938237674121e+44       1.312745891327e+44      -1.086596854651e+53       4.736052221932e-07       2.389276025940e+01 
       9.523436845525e+13       1.050041089389e-14       8.333047533360e-26       4.865796654485e-09       1.957005382384e+22       1.413985694611e+04       1.484743079149e-10       1.346600346310e+18       2.809577774222e-09       2.263361355047e+44       2.145993665002e+33       1.151321276611e+34       3.466349519779e+29       1.042142536872e+44       3.473808456239e+43       1.733174759889e+29       5.210712684359e+43       1.736904228120e+43       3.453080871730e-08       3.294906187201e+41       3.829870066678e+44       3.829870066678e+44       1.276623355514e+44      -1.049351749181e+53       5.525394258921e-07       2.047950879377e+01 
       9.457236192179e+13       1.057391377014e-14       8.450118518156e-26       4.900357453153e-09       1.929892325108e+22       1.413985694611e+04       1.495136280703e-10       1.337239668630e+18       2.829244818642e-09       2.201080945604e+44       2.101551435954e+33       1.127478110288e+34       3.394563520672e+29       1.013466133190e+44       3.378220443968e+43       1.697281760336e+29       5.067330665952e+43       1.689110221984e+43       3.453080871730e-08       3.204240988754e+41       3.724484386512e+44       3.724484386512e+44       1.241494795459e+44      -1.013383288196e+53       6.314736295909e-07       1.791957019455e+01 
       9.391495722125e+13       1.064793116654e-14       8.568834233218e-26       4.934918251820e-09       1.903154901892e+22       1.413985694611e+04       1.505602234668e-10       1.327944060208e+18       2.849049532372e-09       2.140514292293e+44       2.058029578552e+33       1.104128721498e+34       3.324264166128e+29       9.855788117114e+43       3.285262705705e+43       1.662132083064e+29       4.927894058557e+43       1.642631352852e+43       3.453080871730e-08       3.116070604344e+41       3.621998580595e+44       3.621998580595e+44       1.207332860155e+44      -9.786477123577e+52       7.104078332897e-07       1.592850683960e+01 
       9.326212236469e+13       1.072246668470e-14       8.689217785360e-26       4.969479050487e-09       1.876787908565e+22       1.413985694611e+04       1.516141450311e-10       1.318713068727e+18       2.868992879098e-09       2.081614238068e+44       2.015409032458e+33       1.081262884409e+34       3.255420668639e+29       9.584588594357e+43       3.194862864786e+43       1.627710334320e+29       4.792294297179e+43       1.597431432393e+43       3.453080871730e-08       3.030326384731e+41       3.522332853735e+44       3.522332853735e+44       1.174110951202e+44      -9.451027622609e+52       7.893420369885e-07       1.433565615564e+01 
       9.261382558559e+13       1.079752395149e-14       8.811292606027e-26       5.004039849155e-09       1.850786213058e+22       1.413985694611e+04       1.526754440463e-10       1.309546245012e+18       2.889075829252e-09       2.024334923495e+44       1.973671132059e+33       1.058870584956e+34       3.188002878287e+29       9.320851608362e+43       3.106950536121e+43       1.594001439144e+29       4.660425804181e+43       1.553475268060e+43       3.453080871730e-08       2.946941569679e+41       3.425409606444e+44       3.425409606444e+44       1.141803202106e+44      -9.127076270185e+52       8.682762406873e-07       1.303241468694e+01 
       9.197003533823e+13       1.087310661916e-14       8.935082455849e-26       5.038600647822e-09       1.825144754403e+22       1.413985694611e+04       1.537441721546e-10       1.300443143011e+18       2.909299360057e-09       1.968631751041e+44       1.932797598298e+33       1.036942016463e+34       3.121981269541e+29       9.064371814170e+43       3.021457271390e+43       1.560990634770e+29       4.532185907085e+43       1.510728635695e+43       3.453080871730e-08       2.865851235979e+41       3.331153374526e+44       3.331153374526e+44       1.110384458134e+44      -8.814228946121e+52       9.472104443861e-07       1.194638012970e+01 
       9.133072029615e+13       1.094921836549e-14       9.060611429271e-26       5.074980435893e-09       1.799858541751e+22       1.413985694611e+04       1.548203813597e-10       1.291403319773e+18       2.929664455577e-09       1.914461350357e+44       1.892770530666e+33       1.015467575342e+34       3.057326928324e+29       8.814949517254e+43       2.938316505751e+43       1.528663464162e+29       4.407474758627e+43       1.469158252876e+43       3.453080871730e-08       2.786992246900e+41       3.239490770312e+44       3.239490770312e+44       1.079830256731e+44      -8.512105039421e+52       1.026144648085e-06       1.102742781203e+01 
       9.069584935070e+13       1.102586289405e-14       9.187903959240e-26       5.109541234560e-09       1.774922653393e+22       1.413985694611e+04       1.559041240292e-10       1.282426335425e+18       2.950172106766e-09       1.861781544502e+44       1.853572399361e+33       9.944378568897e+33       2.994011539355e+29       8.572390518034e+43       2.857463506011e+43       1.497005769678e+29       4.286195259017e+43       1.428731753006e+43       3.453080871730e-08       2.710303203030e+41       3.150350425528e+44       3.150350425528e+44       1.050116808470e+44      -8.220336985237e+52       1.105078851784e-06       1.023975439688e+01 
       9.006539160943e+13       1.110304393431e-14       9.316984821963e-26       5.145921022631e-09       1.750332235813e+22       1.413985694611e+04       1.569954528974e-10       1.273511753152e+18       2.970823311513e-09       1.810551317112e+44       1.815186037615e+33       9.738436511700e+33       2.932007373744e+29       8.336505960681e+43       2.778835320227e+43       1.466003686872e+29       4.168252980340e+43       1.389417660113e+43       3.453080871730e-08       2.635724394471e+41       3.063662935724e+44       3.063662935724e+44       1.021220978536e+44      -7.938569817679e+52       1.184013055482e-06       9.557104103757e+00 
