# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.376328256315e-10       4.142338124956e-15       3.538186187340e-13       0.000000000000e+00       8.160061735203e-09       4.444072229726e-10      -1.837610249786e-12 
    3       1.304040293663e-10       5.310886071144e-15       3.966403913002e-13       0.000000000000e+00       5.015707340994e-09       3.158744704528e-10      -1.392644093064e-12 
    4       1.235161086130e-10       4.598167403519e-15       3.707510142365e-13       0.000000000000e+00       3.489652037983e-09       2.393876006015e-10      -9.122841757567e-13 
    5       1.183460519249e-10       3.070986711604e-15       3.157475383664e-13       0.000000000000e+00       2.604431581427e-09       1.892063338335e-10      -5.077554111430e-13 
    6       1.147950616646e-10       1.718110850053e-15       2.543250906616e-13       0.000000000000e+00       2.033694569713e-09       1.540432634341e-10      -2.095358486887e-13 
    7       1.124709944861e-10       9.273394215250e-16       1.997224651164e-13       0.000000000000e+00       1.639620143998e-09       1.282119503399e-10      -1.910571965818e-14 
    8       1.111125303630e-10       5.964209946647e-16       1.577124573666e-13       0.000000000000e+00       1.353594406366e-09       1.086189781698e-10       7.830196465262e-14 
    9       1.104858416991e-10       4.776073903112e-16       1.295488952668e-13       0.000000000000e+00       1.138344175378e-09       9.344147248727e-11       1.058412186853e-13 
   10       1.103471770495e-10       4.068132842393e-16       1.139111543982e-13       0.000000000000e+00       9.719041180316e-10       8.143742366656e-11       8.923800009209e-14 
   11       1.106570300362e-10       3.419151763497e-16       1.081650503311e-13       0.000000000000e+00       8.199299395074e-10       7.206085988212e-11       5.254579459906e-14 
   12       1.112532004903e-10       2.978824642825e-16       1.092657513517e-13       0.000000000000e+00       7.161346769351e-10       6.375757821990e-11       1.320902814699e-14 
   13       1.120859494330e-10       2.856809482408e-16       1.145514379888e-13       0.000000000000e+00       6.309629568284e-10       5.702447806175e-11      -1.678072316405e-14 
   14       1.131313041349e-10       2.976748429731e-16       1.220255697491e-13       0.000000000000e+00       5.601311136090e-10       5.119524447336e-11      -3.316887015492e-14 
   15       1.143563846140e-10       3.224314778576e-16       1.303254159891e-13       0.000000000000e+00       5.005313413128e-10       4.627014680964e-11      -3.619851411197e-14 
   16       1.156805190722e-10       3.575650205875e-16       1.388168571208e-13       0.000000000000e+00       4.498758324138e-10       4.201093078898e-11      -2.972333356869e-14 
   17       1.171434691133e-10       4.083105572711e-16       1.473440996411e-13       0.000000000000e+00       4.064369414498e-10       3.828568426496e-11      -1.886744271009e-14 
   18       1.186827965360e-10       4.798218801514e-16       1.560077159184e-13       0.000000000000e+00       3.687469460532e-10       3.505122121199e-11      -8.475705034349e-15 
   19       1.203109567331e-10       5.724164894565e-16       1.649940159863e-13       0.000000000000e+00       3.362034719716e-10       3.225616390399e-11      -1.151105895621e-15 
   20       1.220221050677e-10       6.841814914763e-16       1.744780546505e-13       0.000000000000e+00       3.075493103915e-10       2.976911492629e-11       1.378642926639e-15 
   21       1.238119238191e-10       8.145395257603e-16       1.844538575942e-13       0.000000000000e+00       2.823321944388e-10       2.754160405021e-11      -3.303003438245e-16 
   22       1.256473291970e-10       9.630564719819e-16       1.947729167092e-13       0.000000000000e+00       2.599465782562e-10       2.552144878788e-11      -4.538581497431e-15 
   23       1.275391962655e-10       1.129904302494e-15       2.050783141696e-13       0.000000000000e+00       2.400833590809e-10       2.371039917864e-11      -9.497072856816e-15 
   24       1.294897102504e-10       1.315323494507e-15       2.149106320582e-13       0.000000000000e+00       2.222820925254e-10       2.210174761482e-11      -1.334505736692e-14 
   25       1.314938076582e-10       1.519737682126e-15       2.240089050056e-13       0.000000000000e+00       2.063324262697e-10       2.066261457709e-11      -1.528477021792e-14 
   26       1.335302994596e-10       1.743772715587e-15       2.321774899624e-13       0.000000000000e+00       1.919446739768e-10       1.934070285125e-11      -1.502177996262e-14 
   27       1.356018820089e-10       1.989094606316e-15       2.393208141080e-13       0.000000000000e+00       1.789455515427e-10       1.813045184188e-11      -1.316118699525e-14 
   28       1.377089530216e-10       2.257709696239e-15       2.453982620931e-13       0.000000000000e+00       1.671102884518e-10       1.703169471412e-11      -1.067685443481e-14 
   29       1.398594778497e-10       2.551068274042e-15       2.504463587545e-13       0.000000000000e+00       1.563780830858e-10       1.604043758584e-11      -8.196482877873e-15 
   30       1.420513681830e-10       2.870470980638e-15       2.545559880365e-13       0.000000000000e+00       1.466333308153e-10       1.514075556168e-11      -6.351417793517e-15 
   31       1.442720656606e-10       3.217162046152e-15       2.578253065133e-13       0.000000000000e+00       1.376767940166e-10       1.430842776641e-11      -5.728639964512e-15 
   32       1.465253754285e-10       3.592064494217e-15       2.602234452905e-13       0.000000000000e+00       1.294619661449e-10       1.353742466780e-11      -6.178311756205e-15 
   33       1.488120446505e-10       3.995932533147e-15       2.616756821437e-13       0.000000000000e+00       1.219305121655e-10       1.282172263303e-11      -7.235061688634e-15 
   34       1.511255306037e-10       4.429479891693e-15       2.620899179986e-13       0.000000000000e+00       1.149767379937e-10       1.215169525241e-11      -8.370137440388e-15 
   35       1.534661491300e-10       4.893621414566e-15       2.613298162166e-13       0.000000000000e+00       1.085648787565e-10       1.152802596410e-11      -9.286726319419e-15 
   36       1.558300958411e-10       5.389308613346e-15       2.592296465020e-13       0.000000000000e+00       1.026433211686e-10       1.095187515535e-11      -9.718968647152e-15 
   37       1.582096708403e-10       5.917436705069e-15       2.556354713271e-13       0.000000000000e+00       9.713479841833e-11       1.042152161848e-11      -9.445822697134e-15 
   38       1.606100654508e-10       6.478752797654e-15       2.505281509993e-13       0.000000000000e+00       9.202499347490e-11       9.934650466502e-12      -8.616399422445e-15 
   39       1.630369908760e-10       7.073910490910e-15       2.439414191847e-13       0.000000000000e+00       8.729762929003e-11       9.486272959350e-12      -7.535664317007e-15 
   40       1.654915172838e-10       7.703488270817e-15       2.359306349277e-13       0.000000000000e+00       8.290752085791e-11       9.067726503596e-12      -6.583583689905e-15 
   41       1.679717863303e-10       8.368029291453e-15       2.265502787514e-13       0.000000000000e+00       7.879629978686e-11       8.669411945501e-12      -6.115680782890e-15 
   42       1.704800734533e-10       9.068187913348e-15       2.157744804840e-13       0.000000000000e+00       7.495180494693e-11       8.290804127830e-12      -6.114108146688e-15 
   43       1.730171464135e-10       9.804622734231e-15       2.035528259758e-13       0.000000000000e+00       7.136378210058e-11       7.933191095823e-12      -6.431152982904e-15 
   44       1.755798680108e-10       1.057795435837e-14       1.898316174577e-13       0.000000000000e+00       6.800606325291e-11       7.596823912105e-12      -6.881452053950e-15 
   45       1.781634690626e-10       1.138875961442e-14       1.745585680245e-13       0.000000000000e+00       6.484590165186e-11       7.281149032349e-12      -7.283013947947e-15 
   46       1.807700462976e-10       1.223755632027e-14       1.576993341974e-13       0.000000000000e+00       6.187828939918e-11       6.985808427570e-12      -7.600387360211e-15 
   47       1.834019779789e-10       1.312481095148e-14       1.392253661519e-13       0.000000000000e+00       5.909974500321e-11       6.709779542612e-12      -7.840341056475e-15 
   48       1.860592920166e-10       1.405094030767e-14       1.191092744940e-13       0.000000000000e+00       5.649796355732e-11       6.451002732815e-12      -8.012401109966e-15 
   49       1.887394494900e-10       1.501630951081e-14       9.732479048316e-14       0.000000000000e+00       5.405116074522e-11       6.206306604004e-12      -8.129023139175e-15 
   50       1.914391730182e-10       1.602120399150e-14       7.384501178600e-14       0.000000000000e+00       5.173462796365e-11       5.972328897650e-12      -8.206191502674e-15 
   51       1.941610191757e-10       1.706574112742e-14       4.863667066025e-14       0.000000000000e+00       4.954401723730e-11       5.748747040805e-12      -8.265009034285e-15 
   52       1.969082158906e-10       1.814993116010e-14       2.166424117721e-14       0.000000000000e+00       4.747724280374e-11       5.535795438028e-12      -8.330836547090e-15 
   53       1.996826561241e-10       1.927369796144e-14      -7.108599890121e-15       0.000000000000e+00       4.552751327021e-11       5.333319416545e-12      -8.433091358211e-15 
   54       2.024847776211e-10       2.043687580785e-14      -3.771909352492e-14       0.000000000000e+00       4.368301496553e-11       5.140747415427e-12      -8.605439618673e-15 
   55       2.053142812883e-10       2.163927464331e-14      -7.019857309792e-14       0.000000000000e+00       4.193051228538e-11       4.957342150911e-12      -8.875121009541e-15 
   56       2.081727707881e-10       2.288090224377e-14      -1.045497267417e-13       0.000000000000e+00       4.026792151286e-11       4.783090890710e-12      -9.227376677166e-15 
