# Matter power spectrum P(k) at redshift z=0
# for k=1.04918e-05 to 1.70209 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049181435641e-05       4.765230178304e+01 
       2.341710793695e-05       1.034255447507e+02 
       3.638818453752e-05       1.582651159727e+02 
       4.944018525661e-05       2.127456473422e+02 
       6.260883654261e-05       2.671972334801e+02 
       7.593077094514e-05       3.218691319814e+02 
       8.944385819195e-05       3.769757725218e+02 
       1.031875510228e-04       4.327155572181e+02 
       1.172032502451e-04       4.892806182605e+02 
       1.315346935105e-04       5.468627042720e+02 
       1.462283723156e-04       6.056573695294e+02 
       1.484340210776e-04       6.144631596608e+02 
       1.613339816664e-04       6.658671452033e+02 
       1.632774231854e-04       6.735974042685e+02 
       1.769049066576e-04       7.277043713431e+02 
       1.796051655039e-04       7.384057880365e+02 
       1.929987498289e-04       7.913936960376e+02 
       1.959329078225e-04       8.029818875484e+02 
       2.096779024692e-04       8.571746620732e+02 
       2.152293305626e-04       8.790207085060e+02 
       2.270101619145e-04       9.253039769786e+02 
       2.360100935134e-04       9.605936502760e+02 
       2.450693951373e-04       9.960581407121e+02 
       2.597595368859e-04       1.053445708483e+03 
       2.639362463414e-04       1.069735726539e+03 
       2.836988825589e-04       1.146660073717e+03 
       2.849933204691e-04       1.151689847687e+03 
       3.044537660576e-04       1.227181537247e+03 
       3.131957844738e-04       1.261018704543e+03 
       3.263064353126e-04       1.311679952147e+03 
       3.443669289001e-04       1.381303799082e+03 
       3.493722669598e-04       1.400566460177e+03 
       3.737771791380e-04       1.494285520542e+03 
       3.770224135372e-04       1.506722892357e+03 
       3.996582217011e-04       1.593315503449e+03 
       4.141309188066e-04       1.648536193722e+03 
       4.271639809882e-04       1.698169157751e+03 
       4.556924447083e-04       1.806503089179e+03 
       4.564547067718e-04       1.809391985386e+03 
       4.877020481539e-04       1.927559701636e+03 
       5.002226510316e-04       1.974770245077e+03 
       5.210882662906e-04       2.053272819018e+03 
       5.477215377765e-04       2.153161623159e+03 
       5.568047792942e-04       2.187148816175e+03 
       5.950498947054e-04       2.329811070942e+03 
       6.026421255752e-04       2.358047397872e+03 
       6.360256052842e-04       2.481874620951e+03 
       6.605313937955e-04       2.572432586910e+03 
       6.799333727124e-04       2.643927167411e+03 
       7.258423630696e-04       2.812387015897e+03 
       7.269689074740e-04       2.816508235609e+03 
       7.773160728238e-04       3.000084696962e+03 
       7.970906931869e-04       3.071861865234e+03 
       8.311401883630e-04       3.195025061452e+03 
       8.742763841472e-04       3.350280053948e+03 
       8.885811641971e-04       3.401574451434e+03 
       9.497470279864e-04       3.619833502694e+03 
       9.603681163723e-04       3.657556271863e+03 
       1.014708476128e-03       3.849739470597e+03 
       1.053881549651e-03       3.987435814740e+03 
       1.083495053358e-03       4.091060070440e+03 
       1.156093427349e-03       4.343390598712e+03 
       1.157785364406e-03       4.349242377201e+03 
       1.232447990480e-03       4.606165211941e+03 
       1.270595220425e-03       4.736448078817e+03 
       1.312463733617e-03       4.878675277608e+03 
       1.395279798130e-03       5.157621730300e+03 
       1.396011058226e-03       5.160071194749e+03 
       1.482931983047e-03       5.449446822502e+03 
       1.528870417100e-03       5.601002670820e+03 
       1.573047098189e-03       5.745848975471e+03 
       1.666162629512e-03       6.048285164440e+03 
       1.677304438177e-03       6.084213123691e+03 
       1.762077077629e-03       6.355767735470e+03 
       1.840581861363e-03       6.604408573332e+03 
       1.860587050095e-03       6.667336587306e+03 
       1.961492072246e-03       6.982074582984e+03 
       2.033546088764e-03       7.204118894865e+03 
       2.064598310449e-03       7.299123069205e+03 
       2.169721253856e-03       7.617687909161e+03 
       2.226510316164e-03       7.787834805436e+03 
       2.276687472727e-03       7.937046079812e+03 
       2.385335607126e-03       8.256547166350e+03 
       2.449161347781e-03       8.441971905501e+03 
       2.495516748014e-03       8.575602675536e+03 
       2.607094362939e-03       8.893695897948e+03 
       2.686655781505e-03       9.117479888881e+03 
       2.719943898716e-03       9.210366052315e+03 
       2.833952169907e-03       9.525213201271e+03 
       2.938993617337e-03       9.810842875518e+03 
       2.949016618436e-03       9.837877432317e+03 
       3.065044508519e-03       1.014805309252e+04 
       3.181952103285e-03       1.045546989919e+04 
       3.235861659492e-03       1.059552193758e+04 
       3.299663855160e-03       1.075989463981e+04 
       3.418111631042e-03       1.106112285020e+04 
       3.537233984995e-03       1.135897429143e+04 
       3.547573103755e-03       1.138458914757e+04 
