# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369699625252e-10       4.143749621031e-15       3.528291118297e-13       2.244527108016e-19       8.203164098533e-09       4.444266743051e-10      -1.839198587350e-12 
    3       1.297472499987e-10       5.311605896052e-15       3.955995361619e-13       4.489984501280e-19       5.044249633188e-09       3.154485360144e-10      -1.393946962717e-12 
    4       1.228961663477e-10       4.597863708428e-15       3.697026022182e-13       7.485356181774e-19       3.510322800483e-09       2.387328525822e-10      -9.133709126389e-13 
    5       1.177729669221e-10       3.070448102162e-15       3.147137801033e-13       1.123183124381e-18       2.620226272961e-09       1.884298746057e-10      -5.087401250691e-13 
    6       1.142727694392e-10       1.718123083351e-15       2.533319974080e-13       1.573085316764e-18       2.046202819104e-09       1.532089303011e-10      -2.105130080631e-13 
    7       1.120010909238e-10       9.281434462951e-16       1.988046143633e-13       2.098409315069e-18       1.649786879477e-09       1.273597517499e-10      -2.014205565382e-14 
    8       1.106923671585e-10       5.979137572929e-16       1.569164761243e-13       2.699341993874e-18       1.362020212550e-09       1.077703245856e-10       7.717307044793e-14 
    9       1.101091941869e-10       4.797749420287e-16       1.289217491270e-13       3.376086704756e-18       1.145435905547e-09       9.260612269617e-11       1.046205842669e-13 
   10       1.100120200414e-10       4.099087001867e-16       1.134807415660e-13       4.128859832837e-18       9.779507856012e-10       8.062236218971e-11       8.795582710482e-14 
   11       1.103585054090e-10       3.463013549241e-16       1.079284742598e-13       4.957887286033e-18       8.250637381521e-10       7.127165880757e-11       5.124815751789e-14 
   12       1.109885095484e-10       3.037765958632e-16       1.091902920076e-13       5.863401014864e-18       7.205995655156e-10       6.300464583177e-11       1.195712462778e-14 
   13       1.118536459934e-10       2.930426079722e-16       1.145753386852e-13       6.845635656841e-18       6.348755340941e-10       5.630642579676e-11      -1.794407264111e-14 
   14       1.129241654428e-10       3.062941899728e-16       1.220730567159e-13       7.904825392485e-18       5.635818451973e-10       5.050258034375e-11      -3.422569724187e-14 
   15       1.141732536100e-10       3.320974002822e-16       1.303345680637e-13       9.041201090068e-18       5.035924601363e-10       4.560856716235e-11      -3.713426041159e-14 
   16       1.155208266980e-10       3.681739102359e-16       1.387490855092e-13       1.025498780376e-17       4.526053594775e-10       4.138164590496e-11      -3.054883205904e-14 
   17       1.170059034182e-10       4.198919110134e-16       1.471829157507e-13       1.154640267547e-17       4.088821057588e-10       3.768857715630e-11      -1.960468528104e-14 
   18       1.185643036872e-10       4.925085991144e-16       1.557692541837e-13       1.291565309946e-17       3.709456459924e-10       3.448278939708e-11      -9.150609648684e-15 
   19       1.202081818705e-10       5.863890292068e-16       1.647084180363e-13       1.436293639356e-17       3.381896745900e-10       3.171341831884e-11      -1.786164089953e-15 
   20       1.219326558800e-10       6.996431562263e-16       1.741803781083e-13       1.588843710596e-17       3.093489397980e-10       2.925202997326e-11       7.704633704798e-16 
   21       1.237350935507e-10       8.316631113158e-16       1.841743516101e-13       1.749232942406e-17       2.839681984021e-10       2.705000145286e-11      -9.152745244321e-16 
   22       1.255841618790e-10       9.819558743196e-16       1.945302275745e-13       1.917477422260e-17       2.614379061675e-10       2.505406989858e-11      -5.094029840396e-15 
   23       1.274891833240e-10       1.150645673442e-15       2.048755007499e-13       2.093592286027e-17       2.414468880527e-10       2.326463405252e-11      -1.001452368055e-14 
