# Matter power spectrum P(k) at redshift z=0
# for k=1.04916e-05 to 1.70194 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049155130664e-05       4.761226697661e+01 
       2.341607566857e-05       1.033367665750e+02 
       3.638637585967e-05       1.581285774540e+02 
       4.943758668571e-05       2.125618585108e+02 
       6.260542813711e-05       2.669665986462e+02 
       7.592652604428e-05       3.215919960851e+02 
       8.943874305433e-05       3.766523442304e+02 
       1.031815243589e-04       4.323459572572e+02 
       1.171962626357e-04       4.888649546750e+02 
       1.315266867017e-04       5.464011980984e+02 
       1.462192783786e-04       6.051500919913e+02 
       1.484340210776e-04       6.139861737526e+02 
       1.613237220090e-04       6.653146110522e+02 
       1.632774231854e-04       6.730803638957e+02 
       1.768933908726e-04       7.271065615430e+02 
       1.796051655039e-04       7.378468156132e+02 
       1.929858743629e-04       7.907512692977e+02 
       1.959329078225e-04       8.023833441383e+02 
       2.096635490963e-04       8.564882208332e+02 
       2.152293305626e-04       8.783784000238e+02 
       2.269941959964e-04       9.245744918029e+02 
       2.360100935134e-04       9.599091039825e+02 
       2.450516636563e-04       9.952871276347e+02 
       2.597595368859e-04       1.052718392993e+03 
       2.639165756936e-04       1.068924991748e+03 
       2.836770761025e-04       1.145812161531e+03 
       2.849933204691e-04       1.150924932160e+03 
       3.044296014206e-04       1.226299682531e+03 
       3.131957844738e-04       1.260221659123e+03 
       3.262796614798e-04       1.310768401403e+03 
       3.443669289001e-04       1.380484706282e+03 
       3.493426011813e-04       1.399631007909e+03 
       3.737443037302e-04       1.493333456146e+03 
       3.770224135372e-04       1.505897153022e+03 
       3.996217808550e-04       1.592356419820e+03 
       4.141309188066e-04       1.647725048751e+03 
       4.271235777485e-04       1.697215242145e+03 
       4.556924447083e-04       1.805739187830e+03 
       4.564099004148e-04       1.808459347204e+03 
       4.876523522643e-04       1.926668227364e+03 
       5.002226510316e-04       1.974095967571e+03 
       5.210331479133e-04       2.052447835313e+03 
       5.477215377765e-04       2.152630895318e+03 
       5.567436596034e-04       2.186422739875e+03 
       5.949821516801e-04       2.329224464770e+03 
       6.026421255752e-04       2.357750065890e+03 
       6.359505788760e-04       2.481478411487e+03 
       6.605313937955e-04       2.572464889465e+03 
       6.798503729167e-04       2.643783911758e+03 
       7.258423630696e-04       2.812900394549e+03 
       7.268772255436e-04       2.816694983691e+03 
       7.772149955809e-04       3.000696127282e+03 
       7.970906931869e-04       3.073041895704e+03 
       8.310290151795e-04       3.196175079509e+03 
       8.742763841472e-04       3.352356219522e+03 
       8.884592257710e-04       3.403398780062e+03 
       9.496137056146e-04       3.622490788308e+03 
       9.603681163723e-04       3.660853094335e+03 
       1.014563219880e-03       3.853413797901e+03 
       1.053881549651e-03       3.992326420564e+03 
       1.083337397474e-03       4.095960188648e+03 
       1.155923001390e-03       4.349749496410e+03 
       1.157785364406e-03       4.356231291442e+03 
       1.232264525235e-03       4.614239458014e+03 
       1.270595220425e-03       4.746098716564e+03 
       1.312267061426e-03       4.888739903406e+03 
       1.395279798130e-03       5.170655190067e+03 
       1.395801108069e-03       5.172416373200e+03 
       1.482708771332e-03       5.464372544663e+03 
       1.528870417100e-03       5.618137612717e+03 
       1.572810716529e-03       5.763660027892e+03 
       1.665913230912e-03       6.069283312816e+03 
       1.677304438177e-03       6.106423381015e+03 
       1.761814862352e-03       6.380245106788e+03 
       1.840581861363e-03       6.632735122743e+03 
       1.860312252253e-03       6.695570862833e+03 
       1.961204947819e-03       7.014322376257e+03 
       2.033546088764e-03       7.240238676880e+03 
       2.064299127099e-03       7.335615458614e+03 
       2.169410282683e-03       7.658627701843e+03 
       2.226510316164e-03       7.832177565827e+03 
       2.276364981881e-03       7.982605092000e+03 
       2.385001857090e-03       8.306861644119e+03 
       2.449161347781e-03       8.496100398997e+03 
       2.495171988317e-03       8.630781709115e+03 
       2.606738830035e-03       8.953812187544e+03 
       2.686655781505e-03       9.182143891306e+03 
       2.719577814771e-03       9.275468004113e+03 
       2.833575742293e-03       9.595315905163e+03 
       2.938993617337e-03       9.886570955589e+03 
       2.948630039727e-03       9.912980099351e+03 
       3.064647956846e-03       1.022812920755e+04 
       3.181545742934e-03       1.054048166724e+04 
       3.235861659492e-03       1.068385970143e+04 
       3.299247837325e-03       1.084978570212e+04 
       3.417686094650e-03       1.115583015253e+04 
       3.536799057579e-03       1.145843222621e+04 
       3.547573103755e-03       1.148554954391e+04 
       3.656531283829e-03       1.175743724967e+04 
       3.776832730042e-03       1.205271334159e+04 
       3.888971352234e-03       1.232336703285e+04 
       3.897658192249e-03       1.234415020797e+04 
       4.018966800836e-03       1.263165387039e+04 
       4.140721566792e-03       1.291515178070e+04 
       4.262888975424e-03       1.319457995603e+04 
       4.274899807036e-03       1.322178331599e+04 
       4.385438623489e-03       1.346989563275e+04 
       4.508342895668e-03       1.374105369676e+04 
       4.631576676454e-03       1.400803399721e+04 
       4.690515066053e-03       1.413400415244e+04 
       4.755117093751e-03       1.427081443451e+04 
       4.878943290768e-03       1.452938562543e+04 
       5.003036223070e-03       1.478374540621e+04 
       5.127378477978e-03       1.503388954849e+04 
       5.150660531394e-03       1.508020210410e+04 
       5.251954113757e-03       1.527982952861e+04 
       5.376748516348e-03       1.552157459849e+04 
       5.501748271625e-03       1.575913817638e+04 
       5.626941051374e-03       1.599254360824e+04 
       5.655336203058e-03       1.604485879470e+04 
       5.752315511450e-03       1.622180916885e+04 
       5.877861200679e-03       1.644695873405e+04 
       6.003568479314e-03       1.666802428543e+04 
       6.129428445926e-03       1.688503034501e+04 
       6.204542081045e-03       1.701249990303e+04 
       6.255432871804e-03       1.709800822114e+04 
       6.381574142006e-03       1.730699110267e+04 
       6.507845202333e-03       1.751201233948e+04 
       6.634239511556e-03       1.771310489783e+04 
       6.760750998340e-03       1.791031136931e+04 
       6.813121567463e-03       1.799076649420e+04 
       6.887374022342e-03       1.810366103189e+04 
       7.014103339039e-03       1.829319318224e+04 
       7.140934067892e-03       1.847894871580e+04 
       7.267861663492e-03       1.866095434302e+04 
       7.394881889379e-03       1.883925708632e+04 
       7.481074662313e-03       1.895809266442e+04 
       7.521990794253e-03       1.901390083284e+04 
       7.649184690340e-03       1.918490896818e+04 
       7.776460133696e-03       1.935233330512e+04 
       7.903813906244e-03       1.951620560750e+04 
       8.031242999391e-03       1.967656544850e+04 
       8.158744599050e-03       1.983344352783e+04 
       8.223244767701e-03       1.991146525047e+04 
       8.286316071949e-03       1.998689230003e+04 
       8.413954953099e-03       2.013695053978e+04 
       8.541658934299e-03       2.028364505319e+04 
       8.669425853602e-03       2.042701883961e+04 
       8.797253685638e-03       2.056710593402e+04 
       8.925140532720e-03       2.070395064171e+04 
       9.024788481520e-03       2.080830197649e+04 
       9.053084616665e-03       2.083758004971e+04 
       9.181084271260e-03       2.096804128683e+04 
       9.309137935328e-03       2.109536988883e+04 
       9.437244146318e-03       2.121959230405e+04 
       9.565401534407e-03       2.134075139766e+04 
       9.693608817040e-03       2.145888569164e+04 
       9.821864793888e-03       2.157402448730e+04 
       9.900549205878e-03       2.164316897322e+04 
       9.950168342182e-03       2.168619928482e+04 
       1.007851841240e-02       2.179545289329e+04 
       1.020691402426e-02       2.190181112956e+04 
       1.033535426302e-02       2.200531838567e+04 
       1.046383827606e-02       2.210600110888e+04 
       1.059236526965e-02       2.220389283193e+04 
       1.072093450603e-02       2.229902890674e+04 
       1.084954530067e-02       2.239143818934e+04 
       1.088021374499e-02       2.241307257105e+04 
       1.097819701968e-02       2.248115629163e+04 
       1.110688907746e-02       2.256821888321e+04 
       1.123562093451e-02       2.265265085070e+04 
       1.136439209536e-02       2.273447890178e+04 
       1.149320210666e-02       2.281374456858e+04 
       1.162205055544e-02       2.289046722946e+04 
       1.175093706744e-02       2.296469245647e+04 
       1.187986130556e-02       2.303643581589e+04 
       1.193409529464e-02       2.306588103403e+04 
       1.200882296846e-02       2.310573804373e+04 
       1.213782178923e-02       2.317261402824e+04 
       1.226685753416e-02       2.323710792034e+04 
       1.239593000157e-02       2.329924178426e+04 
       1.252503902078e-02       2.335904295110e+04 
       1.265418445108e-02       2.341654555727e+04 
       1.278336618086e-02       2.347176473629e+04 
       1.291258412672e-02       2.352475329641e+04 
       1.304183823272e-02       2.357552049907e+04 
       1.310672406115e-02       2.360017186863e+04 
       1.317112846960e-02       2.362409424295e+04 
       1.330045483417e-02       2.367049823526e+04 
       1.342981734861e-02       2.371477059811e+04 
       1.355921605999e-02       2.375692321795e+04 
       1.368865103967e-02       2.379699398643e+04 
       1.381812238285e-02       2.383500454523e+04 
       1.394763020811e-02       2.387098134282e+04 
       1.407717465707e-02       2.390494632659e+04 
       1.420675589392e-02       2.393693725080e+04 
       1.433637410520e-02       2.396695574059e+04 
       1.438325664242e-02       2.397732993511e+04 
       1.446602949943e-02       2.399505339795e+04 
       1.459572230690e-02       2.402122848729e+04 
       1.472545277938e-02       2.404552638815e+04 
       1.485522118998e-02       2.406796376947e+04 
       1.498502783295e-02       2.408857356362e+04 
       1.511487302350e-02       2.410735890948e+04 
       1.524475709774e-02       2.412435930666e+04 
       1.537468041255e-02       2.413959110382e+04 
       1.550464334548e-02       2.415308607829e+04 
       1.563464629477e-02       2.416485901694e+04 
       1.573400623423e-02       2.417271393887e+04 
       1.576468967925e-02       2.417494071371e+04 
       1.589477393839e-02       2.418333043370e+04 
       1.602489953227e-02       2.419008283702e+04 
       1.615506694166e-02       2.419521239992e+04 
       1.628527666805e-02       2.419872068703e+04 
       1.641552923371e-02       2.420064564833e+04 
       1.654582518182e-02       2.420101338502e+04 
       1.667616507655e-02       2.419984483853e+04 
       1.680654950322e-02       2.419713699599e+04 
       1.693697906842e-02       2.419294198201e+04 
       1.706745440019e-02       2.418725678712e+04 
       1.719797614822e-02       2.418012494255e+04 
       1.732854498402e-02       2.417156044007e+04 
       1.736678046608e-02       2.416878391631e+04 
       1.745916160113e-02       2.416157333039e+04 
       1.758982671540e-02       2.415018996752e+04 
       1.772054106522e-02       2.413743947852e+04 
       1.785130541176e-02       2.412332260526e+04 
       1.798212053930e-02       2.410785673893e+04 
       1.811298725549e-02       2.409113884728e+04 
       1.824390639170e-02       2.407305774609e+04 
       1.837487880334e-02       2.405371283788e+04 
       1.850590537019e-02       2.403310984452e+04 
