# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.376332857918e-10       4.142562225168e-15       3.538186148264e-13       2.241001690843e-19       8.160061735203e-09       4.444072229726e-10      -1.837610249786e-12 
    3       1.304049474358e-10       5.311334364536e-15       3.966403738833e-13       4.482929717581e-19       5.015707340994e-09       3.158744704528e-10      -1.392644093064e-12 
    4       1.235176337879e-10       4.598914764537e-15       3.707509641807e-13       7.473589523193e-19       3.489652037983e-09       2.393876006015e-10      -9.122841757567e-13 
    5       1.183483305691e-10       3.072108135189e-15       3.157474243042e-13       1.121416518551e-18       2.604431581427e-09       1.892063338335e-10      -5.077554111430e-13 
    6       1.147982367431e-10       1.719681478722e-15       2.543248663087e-13       1.570609412217e-18       2.033694569713e-09       1.540432634341e-10      -2.095358486887e-13 
    7       1.124752050836e-10       9.294345703380e-16       1.997220668223e-13       2.095104055059e-18       1.639620143998e-09       1.282119503399e-10      -1.910571965818e-14 
    8       1.111179113004e-10       5.991161736238e-16       1.577118019296e-13       2.695086546411e-18       1.353594406366e-09       1.086189781698e-10       7.830196465262e-14 
    9       1.104925232530e-10       4.809783236949e-16       1.295478780333e-13       3.370759401027e-18       1.138344175378e-09       9.344147248727e-11       1.058412186853e-13 
   10       1.103552847785e-10       4.109359263813e-16       1.139096476632e-13       4.122338121979e-18       9.719041180316e-10       8.143742366656e-11       8.923800009209e-14 
   11       1.106666847139e-10       3.468657233749e-16       1.081629020449e-13       4.950047706437e-18       8.199299395074e-10       7.206085988212e-11       5.254579459906e-14 
   12       1.112645181405e-10       3.037373613401e-16       1.092627841310e-13       5.854119181699e-18       7.161346769351e-10       6.375757821990e-11       1.320902814699e-14 
   13       1.120990414598e-10       2.925168918141e-16       1.145474484248e-13       6.834786265023e-18       6.309629568284e-10       5.702447806175e-11      -1.678072316405e-14 
   14       1.131462775372e-10       3.055687779045e-16       1.220203279972e-13       7.892282233881e-18       5.601311136090e-10       5.119524447336e-11      -3.316887015492e-14 
   15       1.143733422713e-10       3.314605888120e-16       1.303186656204e-13       9.026837083358e-18       5.005313413128e-10       4.627014680964e-11      -3.619851411197e-14 
   16       1.156995600862e-10       3.678067177740e-16       1.388083152141e-13       1.023867503509e-17       4.498758324138e-10       4.201093078898e-11      -2.972333356869e-14 
   17       1.171646891889e-10       4.198424563587e-16       1.473334570883e-13       1.152801244773e-17       4.064369414498e-10       3.828568426496e-11      -1.886744271009e-14 
   18       1.187062883916e-10       4.927217765683e-16       1.559946379311e-13       1.289505598902e-17       3.687469460532e-10       3.505122121199e-11      -8.475705034349e-15 
   19       1.203368104757e-10       5.867623265359e-16       1.649781427157e-13       1.434000230635e-17       3.362034719716e-10       3.225616390399e-11      -1.151105895621e-15 
   20       1.220504086412e-10       7.000513245989e-16       1.744590020666e-13       1.586303534590e-17       3.075493103915e-10       2.976911492629e-11       1.378642926639e-15 
