# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369167726510e-10       4.142960839447e-15       3.532187947622e-13       0.000000000000e+00       8.178325707325e-09       4.433780829034e-10      -1.839463856852e-12 
    3       1.297217120509e-10       5.311864166268e-15       3.960708329940e-13       0.000000000000e+00       5.036103099732e-09       3.147287579908e-10      -1.394505449179e-12 
    4       1.228908059600e-10       4.599055516917e-15       3.701953151482e-13       0.000000000000e+00       3.505128002328e-09       2.381621848640e-10      -9.139320402039e-13 
    5       1.177836076082e-10       3.071374351904e-15       3.151494403465e-13       0.000000000000e+00       2.616025681565e-09       1.879798248381e-10      -5.092377821725e-13 
    6       1.142907018711e-10       1.717981289511e-15       2.536725881006e-13       0.000000000000e+00       2.042566913926e-09       1.528461430217e-10      -2.108566792344e-13 
    7       1.120189026441e-10       9.268268053678e-16       1.990525002899e-13       0.000000000000e+00       1.646525769216e-09       1.270549948524e-10      -2.031641730804e-14 
    8       1.107076446365e-10       5.956856283093e-16       1.570901776874e-13       0.000000000000e+00       1.358917999762e-09       1.075164647616e-10       7.715587984923e-14 
    9       1.101269223215e-10       4.768433533494e-16       1.290417405451e-13       0.000000000000e+00       1.142379591183e-09       9.240832845049e-11       1.047330225627e-13 
   10       1.100249846065e-10       4.062472299370e-16       1.135664970215e-13       0.000000000000e+00       9.751379945595e-10       8.047734576251e-11       8.816122813002e-14 
   11       1.103690836384e-10       3.417290657758e-16       1.079929676935e-13       0.000000000000e+00       8.229943899443e-10       7.117390130643e-11       5.151926546611e-14 
   12       1.109972120942e-10       2.981212628770e-16       1.092292261759e-13       0.000000000000e+00       7.187371561822e-10       6.291653144587e-11       1.223093235231e-14 
