# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.374843403735e-10       4.142718167995e-15       3.538570457939e-13       2.245641058683e-19       8.172947811136e-09       4.434431109090e-10      -1.837614132323e-12 
    3       1.302563182121e-10       5.310665493818e-15       3.965968539422e-13       4.492208575615e-19       5.019164045974e-09       3.149635035679e-10      -1.392227314982e-12 
    4       1.233777101001e-10       4.597553439910e-15       3.706362543346e-13       7.489054582433e-19       3.491157275519e-09       2.386004377643e-10      -9.117029183630e-13 
    5       1.182181900964e-10       3.070867111286e-15       3.156547787523e-13       1.123736338539e-18       2.605384432390e-09       1.885252038139e-10      -5.071096878261e-13 
    6       1.146787440970e-10       1.719133999056e-15       2.543292907464e-13       1.573857274051e-18       2.034364788955e-09       1.534590155273e-10      -2.088899653966e-13 
    7       1.123676047814e-10       9.297264183708e-16       1.998451976001e-13       2.099434734421e-18       1.640250137304e-09       1.277193933204e-10      -1.847822695071e-14 
    8       1.110201712626e-10       5.999949468578e-16       1.579228421328e-13       2.700654884184e-18       1.354242168442e-09       1.082037737343e-10       7.891248015883e-14 
    9       1.103994215941e-10       4.820040105991e-16       1.297855590270e-13       3.377720323820e-18       1.138897779062e-09       9.308338437283e-11       1.064428366208e-13 
   10       1.102697435546e-10       4.116798519544e-16       1.141056657315e-13       4.130846665648e-18       9.723859967445e-10       8.112289476197e-11       8.983709626566e-14 
   11       1.105855271400e-10       3.470546279034e-16       1.082680592775e-13       4.960259042170e-18       8.202631622694e-10       7.178203834488e-11       5.313653669449e-14 
   12       1.111881913729e-10       3.033183878780e-16       1.092655272676e-13       5.866188644050e-18       7.164242524842e-10       6.352439616782e-11       1.380181688560e-14 
   13       1.120297811708e-10       2.916347914577e-16       1.144605831529e-13       6.848869381120e-18       6.312186039451e-10       5.682778361095e-11      -1.620007944258e-14 
   14       1.130763845328e-10       3.044830454312e-16       1.218714240815e-13       7.908534752886e-18       5.603590033487e-10       5.101335171553e-11      -3.262843002672e-14 
   15       1.143045218771e-10       3.304389317631e-16       1.301530816528e-13       9.045415005183e-18       5.007367359649e-10       4.611026263534e-11      -3.569439711187e-14 
   16       1.156344020331e-10       3.670282308345e-16       1.386678255735e-13       1.025973463731e-17       4.500626683703e-10       4.187365014435e-11      -2.926026385111e-14 
   17       1.171033471892e-10       4.193588483443e-16       1.472363208532e-13       1.155171030969e-17       4.066082647071e-10       3.816971928972e-11      -1.844523699979e-14 
   18       1.186468295097e-10       4.924636256819e-16       1.559489962483e-13       1.292154901260e-17       3.689050118727e-10       3.494957654408e-11      -8.091198768012e-15 
   19       1.202768554232e-10       5.866112874225e-16       1.649787706238e-13       1.436944772927e-17       3.363502855977e-10       3.216353058994e-11      -8.004690517053e-16 
   20       1.219882289413e-10       6.998712792331e-16       1.744846594470e-13       1.589559075557e-17       3.076862696606e-10       2.968581683056e-11       1.699943501038e-15 
   21       1.237790799438e-10       8.316892733086e-16       1.844610110450e-13       1.750015208046e-17       2.824604992327e-10       2.746877797295e-11      -3.162357770629e-17 
   22       1.256188584245e-10       9.816815125407e-16       1.947665372297e-13       1.918329244908e-17       2.600672076409e-10       2.545903731316e-11      -4.254527044590e-15 
   23       1.275158609110e-10       1.150081629805e-15       2.050494122446e-13       2.094516312470e-17       2.401971737682e-10       2.365539075357e-11      -9.224595355170e-15 
   24       1.294687230802e-10       1.337193011613e-15       2.148564431777e-13       2.278590290048e-17       2.223897776373e-10       2.204875730587e-11      -1.308828756211e-14 
   25       1.314752955097e-10       1.543438518739e-15       2.239361595868e-13       2.470564348218e-17       2.064345977424e-10       2.061138915093e-11      -1.504922394745e-14 
   26       1.335184878355e-10       1.769419562213e-15       2.321020083430e-13       2.670450588569e-17       1.920418517843e-10       1.929733475921e-11      -1.481145353293e-14 
   27       1.355976411439e-10       2.016783425101e-15       2.392540649955e-13       2.878260560909e-17       1.790381890679e-10       1.809652721167e-11      -1.297383390823e-14 
   28       1.377079634875e-10       2.287517382252e-15       2.453430727513e-13       3.094005017031e-17       1.671987490671e-10       1.700160805632e-11      -1.050354730893e-14 
   29       1.398580343619e-10       2.583057786857e-15       2.504029812918e-13       3.317694754189e-17       1.564627084725e-10       1.600954621207e-11      -8.030871442744e-15 
   30       1.420487245521e-10       2.904690688323e-15       2.545237435498e-13       3.549339910960e-17       1.467144226159e-10       1.510867908237e-11      -6.193887843002e-15 
   31       1.442704155547e-10       3.253647025300e-15       2.578023401790e-13       3.788949964274e-17       1.377545829419e-10       1.427893425983e-11      -5.585993657520e-15 
   32       1.465264858459e-10       3.630853409468e-15       2.602063128917e-13       4.036534792901e-17       1.295366704609e-10       1.351328464200e-11      -6.054953318999e-15 
   33       1.488159629304e-10       4.037075094832e-15       2.616590122789e-13       4.292103991552e-17       1.220023339042e-10       1.280266765332e-11      -7.129408421678e-15 
   34       1.511307505181e-10       4.473038501412e-15       2.620672355904e-13       4.555666742666e-17       1.150458458423e-10       1.213456965460e-11      -8.275066559876e-15 
   35       1.534719618842e-10       4.939665567939e-15       2.612983105435e-13       4.827232341868e-17       1.086314357937e-10       1.151024770015e-11      -9.196798173381e-15 
   36       1.558375410163e-10       5.437914248010e-15       2.591924858452e-13       5.106809867157e-17       1.027074798133e-10       1.093276440168e-11      -9.633304359752e-15 
   37       1.582213825628e-10       5.968685026964e-15       2.556012433313e-13       5.394408000881e-17       9.719669010198e-11       1.040228443233e-11      -9.367877505003e-15 
   38       1.606282069018e-10       6.532720472777e-15       2.505036830875e-13       5.690034859058e-17       9.208474693665e-11       9.916617606787e-12      -8.548919424713e-15 
   39       1.630624633011e-10       7.130665529714e-15       2.439290086535e-13       5.993698118025e-17       8.735536743910e-11       9.470318340452e-12      -7.478878182335e-15 
   40       1.655236556043e-10       7.763088062322e-15       2.359269612355e-13       6.305405067568e-17       8.296334858141e-11       9.054142097940e-12      -6.534638275239e-15 
   41       1.680085000806e-10       8.430521483355e-15       2.265469131368e-13       6.625162336478e-17       7.885029895866e-11       8.657917136651e-12      -6.068989248489e-15 
   42       1.705195450538e-10       9.133621246418e-15       2.157639810893e-13       6.952974948118e-17       7.500405647288e-11       8.281031094176e-12      -6.064877814718e-15 
   43       1.730584461616e-10       9.873050951391e-15       2.035309480134e-13       7.288846966976e-17       7.141436789843e-11       7.924835096722e-12      -6.376709053538e-15 
   44       1.756231601280e-10       1.064943749901e-14       1.897980569046e-13       7.632781738918e-17       6.805506019520e-11       7.589665615383e-12      -6.821732069465e-15 
   45       1.782099325505e-10       1.146336312829e-14       1.745167685353e-13       7.984781531943e-17       6.489337851819e-11       7.275055676893e-12      -7.220430964060e-15 
   46       1.808208093347e-10       1.231534267783e-14       1.576530444021e-13       8.344846362905e-17       6.192431514942e-11       6.980660424984e-12      -7.537503984284e-15 
   47       1.834577649528e-10       1.320583664796e-14       1.391775510733e-13       8.712974796531e-17       5.914438823356e-11       6.705451890485e-12      -7.779128824692e-15 
   48       1.861203379232e-10       1.413525488097e-14       1.190619125596e-13       9.089164227571e-17       5.654128841673e-11       6.447367335963e-12      -7.954096057917e-15 
   49       1.888054095932e-10       1.510395450770e-14       9.727865869859e-14       9.473410847094e-17       5.409322253722e-11       6.203234784826e-12      -8.073973088014e-15 
   50       1.915091867659e-10       1.611221428599e-14       7.379982854537e-14       9.865709606330e-17       5.177547184211e-11       5.969695047673e-12      -8.153924510759e-15 
   51       1.942342972509e-10       1.716015416793e-14       4.859245337527e-14       1.026605417484e-16       4.958368790425e-11       5.746435622300e-12      -8.215055338122e-15 
   52       1.969842379318e-10       1.824779035071e-14       2.162175837308e-14       1.067443691275e-16       4.751578564774e-11       5.533705871774e-12      -8.282987218989e-15 
   53       1.997612245344e-10       1.937505388747e-14      -7.147711716416e-15       1.109084883913e-16       4.556497220653e-11       5.331370325338e-12      -8.387447843348e-15 
   54       2.025660741188e-10       2.054178752300e-14      -3.775220749751e-14       1.151527959823e-16       4.371943012220e-11       5.138881101500e-12      -8.562465785371e-15 
   55       2.053988322272e-10       2.174780840484e-14      -7.022224935287e-14       1.194771822935e-16       4.196591927571e-11       4.955524810798e-12      -8.835592619554e-15 
   56       2.082611059704e-10       2.299312170916e-14      -1.045608891372e-13       1.238815577800e-16       4.030235628222e-11       4.781298266565e-12      -9.191987516963e-15 
   57       2.111541047057e-10       2.427775454163e-14      -1.407602494938e-13       1.283658327418e-16       3.872780518408e-11       4.616202016386e-12      -9.601751774617e-15 
   58       2.140778595924e-10       2.560169412677e-14      -1.788075505158e-13       1.329299098300e-16       3.723867195759e-11       4.459968406973e-12      -1.002989223561e-14 
   59       2.170311350965e-10       2.696488721031e-14      -2.186849659348e-13       1.375736840223e-16       3.582854038875e-11       4.312044701267e-12      -1.043608862332e-14 
   60       2.200113404956e-10       2.836723946141e-14      -2.603694793103e-13       1.422970425974e-16       3.448800794900e-11       4.171576195530e-12      -1.077446087571e-14 
   61       2.230157565589e-10       2.980853578978e-14      -3.038373883813e-13       1.470998800807e-16       3.320729492432e-11       4.037644283238e-12      -1.100418395269e-14 
