# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.376051199332e-10       4.142404188097e-15       3.539652134548e-13       2.244398431245e-19       8.166939555630e-09       4.437978444228e-10      -1.837460712757e-12 
    3       1.303782364724e-10       5.310823038572e-15       3.967575735906e-13       4.489723217904e-19       5.016739482194e-09       3.153432707730e-10      -1.392291176299e-12 
    4       1.234943758959e-10       4.598194069947e-15       3.708327791809e-13       7.484912085450e-19       3.489748427125e-09       2.389570550701e-10      -9.118842104015e-13 
    5       1.183274812411e-10       3.071552515918e-15       3.158361475530e-13       1.123114918777e-18       2.604385530396e-09       1.888534959296e-10      -5.073432662234e-13 
    6       1.147804685993e-10       1.719493951937e-15       2.544525753699e-13       1.572987207816e-18       2.033612685910e-09       1.537551036466e-10      -2.091394538691e-13 
    7       1.124607872385e-10       9.296231671963e-16       1.998912724131e-13       2.098274519296e-18       1.639634662851e-09       1.279800580516e-10      -1.872643140760e-14 
    8       1.111049068507e-10       5.995473265474e-16       1.579012836049e-13       2.699162985283e-18       1.353687059278e-09       1.084321653171e-10       7.866998539504e-14 
    9       1.104788291066e-10       4.814585179597e-16       1.297248898468e-13       3.375855166618e-18       1.138424134024e-09       9.328717900314e-11       1.062043659239e-13 
   10       1.103431121455e-10       4.112807244946e-16       1.140425029297e-13       4.128566628185e-18       9.720065149057e-10       8.130728573554e-11       8.959948154999e-14 
   11       1.106545304378e-10       3.469563587418e-16       1.082332320549e-13       4.957522446750e-18       8.199553071522e-10       7.194932780789e-11       5.290193198676e-14 
   12       1.112522108581e-10       3.035530310897e-16       1.092736080420e-13       5.862953748605e-18       7.161587080600e-10       6.366900353881e-11       1.356266868292e-14 
   13       1.120877634716e-10       2.921278538911e-16       1.145142414111e-13       6.845094370460e-18       6.309868414197e-10       5.695406728244e-11      -1.643736153050e-14 
   14       1.131322847165e-10       3.050985109714e-16       1.219639493468e-13       7.904177730075e-18       5.601550766557e-10       5.113209521409e-11      -3.284987947415e-14 
   15       1.143577252245e-10       3.310340385830e-16       1.302657256909e-13       9.040433983305e-18       5.005557412303e-10       4.621756170930e-11      -3.590154298946e-14 
   16       1.156834058744e-10       3.675037385533e-16       1.387800465164e-13       1.025408753191e-17       4.499007888504e-10       4.196882110094e-11      -2.945002350663e-14 
   17       1.171484785813e-10       4.196826216902e-16       1.473362645348e-13       1.154535493212e-17       4.064625161841e-10       3.825320246103e-11      -1.861686340098e-14 
   18       1.186891255384e-10       4.926703767892e-16       1.560283149318e-13       1.291444306447e-17       3.687730679383e-10       3.502491674852e-11      -8.245657624775e-15 
   19       1.203174837208e-10       5.867635322405e-16       1.650359648238e-13       1.436154879896e-17       3.362301069612e-10       3.223355727667e-11      -9.388459940999e-16 
   20       1.220281276786e-10       7.000425520731e-16       1.745273308216e-13       1.588685631484e-17       3.075763478217e-10       2.975056264881e-11       1.576306633038e-15 
   21       1.238180157992e-10       8.319413989631e-16       1.844982323316e-13       1.749053948471e-17       2.823595236229e-10       2.752760890867e-11      -1.442345450418e-16 
   22       1.256553490076e-10       9.820499842361e-16       1.948058103221e-13       1.917275893747e-17       2.599741117238e-10       2.551160396316e-11      -4.362035898494e-15 
   23       1.275496854362e-10       1.150571072233e-15       2.050969412565e-13       2.093366582394e-17       2.401110173247e-10       2.370306201117e-11      -9.329629055277e-15 
   24       1.295013827017e-10       1.337776561370e-15       2.149161352260e-13       2.277339882842e-17       2.223097988773e-10       2.209447500732e-11      -1.318834722478e-14 
   25       1.315068241137e-10       1.544088370662e-15       2.240066596090e-13       2.469208955467e-17       2.063601168911e-10       2.065545927063e-11      -1.514111313609e-14 
   26       1.335468661992e-10       1.770118407221e-15       2.321762772929e-13       2.668985892343e-17       1.919722985710e-10       1.933668216848e-11      -1.489315966940e-14 
   27       1.356225236493e-10       2.017523108660e-15       2.393261170498e-13       2.876682234669e-17       1.789730632434e-10       1.813034149814e-11      -1.304623578542e-14 
   28       1.377315941028e-10       2.288299525587e-15       2.454101222032e-13       3.092308726531e-17       1.671376395134e-10       1.703274541093e-11      -1.057048251358e-14 
   29       1.398823638319e-10       2.583890951078e-15       2.504631675467e-13       3.315876158398e-17       1.564052302909e-10       1.604038657052e-11      -8.094938743645e-15 
   30       1.420742423788e-10       2.905590619105e-15       2.545755556788e-13       3.547394663123e-17       1.466602353402e-10       1.513944722510e-11      -6.254560144912e-15 
   31       1.442961534515e-10       3.254636110074e-15       2.578448784235e-13       3.786873712914e-17       1.377034199895e-10       1.430775315032e-11      -5.639826712529e-15 
   32       1.465516792938e-10       3.631952740552e-15       2.602399983443e-13       4.034323182329e-17       1.294882831638e-10       1.353878310265e-11      -6.099876419866e-15 
   33       1.488406843599e-10       4.038301015894e-15       2.616860547645e-13       4.289752662838e-17       1.219564948246e-10       1.282501107370e-11      -7.166512718811e-15 
   34       1.511558226209e-10       4.474401683494e-15       2.620912458832e-13       4.553171334532e-17       1.150023648087e-10       1.215538084661e-11      -8.308344609352e-15 
   35       1.534978011998e-10       4.941172704587e-15       2.613212547020e-13       4.824588490535e-17       1.085901335168e-10       1.153086183086e-11      -9.229229857302e-15 
   36       1.558636861035e-10       5.439567917413e-15       2.592133147508e-13       5.104013206983e-17       1.026681923379e-10       1.095355674877e-11      -9.665283454810e-15 
   37       1.582465713336e-10       5.970484251707e-15       2.556160977267e-13       5.391454164782e-17       9.715927786049e-11       1.042267663962e-11      -9.397334304658e-15 
   38       1.606514200459e-10       6.534666238677e-15       2.505092750034e-13       5.686919477051e-17       9.204907575305e-11       9.935968411419e-12      -8.574121604905e-15 
   39       1.630833234848e-10       7.132763022116e-15       2.439238782659e-13       5.990416817080e-17       8.732131025707e-11       9.488215932870e-12      -7.499432930046e-15 
   40       1.655425806548e-10       7.765347657895e-15       2.359119200132e-13       6.301953471964e-17       8.293079585538e-11       9.070464801942e-12      -6.551802780864e-15 
   41       1.680266297757e-10       8.432958310011e-15       2.265248414249e-13       6.621536067543e-17       7.881916298273e-11       8.672827300872e-12      -6.085501044764e-15 
   42       1.705378765257e-10       9.136249731814e-15       2.157373677867e-13       6.949169621820e-17       7.497425298335e-11       8.294732878838e-12      -6.083109302439e-15 
   43       1.730775195610e-10       9.875882860111e-15       2.035010010670e-13       7.284858192976e-17       7.138581452117e-11       7.937498219757e-12      -6.397985470285e-15 
   44       1.756429519300e-10       1.065248128775e-14       1.897644068748e-13       7.628605120169e-17       6.802768163263e-11       7.601412382266e-12      -6.846087836494e-15 
   45       1.782298951385e-10       1.146662429009e-14       1.744775678977e-13       7.980412664019e-17       6.486710892551e-11       7.285959994263e-12      -7.246676802919e-15 
   46       1.808404167238e-10       1.231882749628e-14       1.576064372149e-13       8.340280832527e-17       6.189909008181e-11       6.990789119711e-12      -7.564371670870e-15 
   47       1.834766927483e-10       1.320955349580e-14       1.391221515943e-13       8.708208180601e-17       5.912014462300e-11       6.714874868253e-12      -7.805635546451e-15 
   48       1.861385060055e-10       1.413921460022e-14       1.189969116500e-13       9.084192092364e-17       5.651796774121e-11       6.456155832005e-12      -7.979615294310e-15 
   49       1.888230271652e-10       1.510817081071e-14       9.720393619253e-14       9.468228747409e-17       5.407077422606e-11       6.211459472294e-12      -8.098309576527e-15 
   50       1.915267206902e-10       1.611670311318e-14       7.371585646258e-14       9.860313085125e-17       5.175385425225e-11       5.977424244004e-12      -8.177281401738e-15 
   51       1.942521802277e-10       1.716492953339e-14       4.849949089564e-14       1.026043876460e-16       4.956286068376e-11       5.753734151226e-12      -8.237633938022e-15 
   52       1.970027703020e-10       1.825286278276e-14       2.151957311754e-14       1.066859813550e-16       4.749570878250e-11       5.540633201567e-12      -8.304861477605e-15 
   53       1.997805476569e-10       1.938042982158e-14      -7.259928145139e-15       1.108478220596e-16       4.554560763599e-11       5.337978354308e-12      -8.408540869135e-15 
   54       2.025861423891e-10       2.054746866551e-14      -3.787592813224e-14       1.150898060877e-16       4.370074346587e-11       5.145211812436e-12      -8.582525180585e-15 
   55       2.054194299045e-10       2.175379225372e-14      -7.035949309305e-14       1.194118237255e-16       4.194788033629e-11       4.961609824284e-12      -8.854215185798e-15 
   56       2.082820145777e-10       2.299940594908e-14      -1.047134099648e-13       1.238137853721e-16       4.028493526891e-11       4.787164943546e-12      -9.208809137960e-15 
   57       2.111751548827e-10       2.428433847599e-14      -1.409292530763e-13       1.282956012897e-16       3.871097234651e-11       4.621874408907e-12      -9.616511088143e-15 
   58       2.140989404885e-10       2.560857902472e-14      -1.789936032966e-13       1.328571740977e-16       3.722239851819e-11       4.465466270705e-12      -1.004244812209e-14 
   59       2.170522042038e-10       2.697207667065e-14      -2.188879001400e-13       1.374983987485e-16       3.581279953387e-11       4.317382456065e-12      -1.044643848376e-14 
   60       2.200324339217e-10       2.837473979359e-14      -2.605882938714e-13       1.422191625023e-16       3.447277587888e-11       4.176761834030e-12      -1.078275969890e-14 
   61       2.230369803075e-10       2.981635570308e-14      -3.040703576972e-13       1.470193598820e-16       3.319255101696e-11       4.042679756266e-12      -1.101073166720e-14 
   62       2.260671958386e-10       3.129632974616e-14      -3.493247949030e-13       1.518989415155e-16       3.197085141348e-11       3.914967821182e-12      -1.112976640468e-14 
   63       2.291250727891e-10       3.281388634256e-14      -3.963450109550e-13       1.568578762621e-16       3.080773766276e-11       3.793548900848e-12      -1.115180992719e-14 
   64       2.322119834553e-10       3.436814056040e-14      -4.451225707098e-13       1.618961376428e-16       2.970193346982e-11       3.678188279516e-12      -1.109133057695e-14 
   65       2.353286332133e-10       3.595809500368e-14      -4.956472047268e-13       1.670137042900e-16       2.865074954814e-11       3.568484856528e-12      -1.096543029680e-14 
   66       2.384750135768e-10       3.758263669982e-14      -5.479068155803e-13       1.722105603985e-16       2.765000751748e-11       3.463862349229e-12      -1.079395590459e-14 
   67       2.416503552547e-10       3.924053398711e-14      -6.018874841715e-13       1.774866961756e-16       2.669396380160e-11       3.363560495872e-12      -1.059961036752e-14 
   68       2.448537723963e-10       4.093055518155e-14      -6.575730552596e-13       1.828421163155e-16       2.577684261855e-11       3.266834126130e-12      -1.040351951007e-14 
   69       2.480864518440e-10       4.265185945642e-14      -7.149437824249e-13       1.882768664069e-16       2.489796576575e-11       3.173616876827e-12      -1.021064027956e-14 
   70       2.513498251899e-10       4.440367993769e-14      -7.739774186174e-13       1.937910127102e-16       2.405753032692e-11       3.083976776930e-12      -1.002158212436e-14 
   71       2.546448880971e-10       4.618520893447e-14      -8.346496082741e-13       1.993846352511e-16       2.325505722538e-11       2.997916860850e-12      -9.836885089245e-15 
   72       2.579721710354e-10       4.799559794109e-14      -8.969338828696e-13       2.050578284765e-16       2.248935627518e-11       2.915371687666e-12      -9.657014860432e-15 
   73       2.613317100155e-10       4.983395763917e-14      -9.608016564667e-13       2.108107019103e-16       2.175849123205e-11       2.836203860338e-12      -9.482357810615e-15 
   74       2.647230173247e-10       5.169935789966e-14      -1.026222221266e-12       2.166433808089e-16       2.105974484449e-11       2.760200544924e-12      -9.313216043959e-15 
   75       2.681450522619e-10       5.359082778488e-14      -1.093162743159e-12       2.225560068168e-16       2.038958390478e-11       2.687069989793e-12      -9.149802441126e-15 
   76       2.715967728866e-10       5.550730244777e-14      -1.161588283155e-12       2.285487317469e-16       1.974453580013e-11       2.616519449075e-12      -8.992401381906e-15 
   77       2.750789721164e-10       5.744745264574e-14      -1.231461876040e-12       2.346216961600e-16       1.912407995890e-11       2.548513052292e-12      -8.841895702598e-15 
   78       2.785927248376e-10       5.940982399712e-14      -1.302744458042e-12       2.407750480523e-16       1.852822262805e-11       2.483054853088e-12      -8.699327276096e-15 
   79       2.821388195247e-10       6.139288625671e-14      -1.375394838373e-12       2.470089498907e-16       1.795661615420e-11       2.420109814445e-12      -8.565738326645e-15 
   80       2.857177408895e-10       6.339503222899e-14      -1.449369695305e-12       2.533235791280e-16       1.740854272572e-11       2.359601997163e-12      -8.442169872210e-15 
   81       2.893296525301e-10       6.541457668119e-14      -1.524623572254e-12       2.597191287172e-16       1.688289811483e-11       2.301412748333e-12      -8.329660166848e-15 
   82       2.929743795803e-10       6.744975525645e-14      -1.601108873860e-12       2.661958076262e-16       1.637817541965e-11       2.245378889815e-12      -8.229243143076e-15 
   83       2.966513913589e-10       6.949872338698e-14      -1.678775862069e-12       2.727538413527e-16       1.589244880629e-11       2.191290906712e-12      -8.141946854243e-15 
   84       3.003601023126e-10       7.155962291556e-14      -1.757573372014e-12       2.793934688374e-16       1.542384126805e-11       2.138944472399e-12      -8.068382443664e-15 
   85       3.041008701738e-10       7.363079703054e-14      -1.837451104612e-12       2.861149314882e-16       1.497205261239e-11       2.088308805995e-12      -8.007436172387e-15 
   86       3.078741322340e-10       7.571060913549e-14      -1.918357708614e-12       2.929184832716e-16       1.453705615150e-11       2.039383033422e-12      -7.957356693333e-15 
   87       3.116800899378e-10       7.779737835923e-14      -2.000240102654e-12       2.998043946000e-16       1.411862920373e-11       1.992144430758e-12      -7.916136930361e-15 
   88       3.155186968819e-10       7.988937960691e-14      -2.083043483425e-12       3.067729527854e-16       1.371634497036e-11       1.946547509123e-12      -7.881505638740e-15 
   89       3.193896468135e-10       8.198484361116e-14      -2.166711333860e-12       3.138244624944e-16       1.332956441247e-11       1.902523099571e-12      -7.850918965614e-15 
   90       3.232923616295e-10       8.408195698314e-14      -2.251185431313e-12       3.209592462014e-16       1.295742812778e-11       1.859977437978e-12      -7.821552010466e-15 
   91       3.272259793746e-10       8.617886226366e-14      -2.336405855732e-12       3.281776446435e-16       1.259884822740e-11       1.818791249929e-12      -7.790290385590e-15 
   92       3.311893422405e-10       8.827365797426e-14      -2.422310997841e-12       3.354800172744e-16       1.225250021271e-11       1.778818835608e-12      -7.753721776553e-15 
   93       3.351813487343e-10       9.036442706160e-14      -2.508838277368e-12       3.428667499379e-16       1.191713707079e-11       1.739924768373e-12      -7.708910745647e-15 
   94       3.392020968410e-10       9.244932701326e-14      -2.595926403524e-12       3.503382782233e-16       1.159260324251e-11       1.702102291878e-12      -7.655874772766e-15 
   95       3.432518914034e-10       9.452651345287e-14      -2.683513471204e-12       3.578950684784e-16       1.127895884600e-11       1.665371120791e-12      -7.595466740186e-15 
   96       3.473308883633e-10       9.659411338944e-14      -2.771536298914e-12       3.655376114495e-16       1.097616739552e-11       1.629741020297e-12      -7.528627151791e-15 
   97       3.514390877591e-10       9.865022565822e-14      -2.859930446699e-12       3.732664228343e-16       1.068409210142e-11       1.595211407297e-12      -7.456386444992e-15 
   98       3.555763267230e-10       1.006929213615e-13      -2.948630234067e-12       3.810820438353e-16       1.040249216992e-11       1.561770951615e-12      -7.379867302638e-15 
   99       3.597422724791e-10       1.027202443095e-13      -3.037568757913e-12       3.889850417130e-16       1.013101910304e-11       1.529397177208e-12      -7.300286964934e-15 
  100       3.639364153409e-10       1.047302114613e-13      -3.126677910448e-12       3.969760103391e-16       9.869212998434e-12       1.498056063365e-12      -7.218959541354e-15 
  101       3.681580617085e-10       1.067208133653e-13      -3.215888397120e-12       4.050555707500e-16       9.616498849233e-12       1.467701645917e-12      -7.137298322557e-15 
  102       3.724063270670e-10       1.086900146008e-13      -3.305129754544e-12       4.132243716998e-16       9.372182843952e-12       1.438275618443e-12      -7.056818092299e-15 
  103       3.766801289832e-10       1.106357542179e-13      -3.394330368423e-12       4.214830902138e-16       9.135448666325e-12       1.409706933470e-12      -6.979137439353e-15 
  104       3.809784121908e-10       1.125559976891e-13      -3.483418084885e-12       4.298324127521e-16       8.905542470336e-12       1.381928470106e-12      -6.905636416223e-15 
  105       3.853008735544e-10       1.144488998030e-13      -3.572322099915e-12       4.382729746116e-16       8.682364232507e-12       1.354930460092e-12      -6.836371867919e-15 
  106       3.896473224385e-10       1.163126646994e-13      -3.660971359765e-12       4.468054133314e-16       8.465949756449e-12       1.328713568961e-12      -6.771019207871e-15 
  107       3.940174529681e-10       1.181454973187e-13      -3.749294014489e-12       4.554303876875e-16       8.256287523993e-12       1.303272265386e-12      -6.709202529124e-15 
  108       3.984108395762e-10       1.199456044093e-13      -3.837217442385e-12       4.641485780330e-16       8.053317068407e-12       1.278594609935e-12      -6.650493128849e-15 
  109       4.028269325523e-10       1.217111955342e-13      -3.924668274447e-12       4.729606866383e-16       7.856927347612e-12       1.254662043814e-12      -6.594408032860e-15 
  110       4.072650535900e-10       1.234404840779e-13      -4.011572418808e-12       4.818674380311e-16       7.666955117398e-12       1.231449177618e-12      -6.540408520138e-15 
  111       4.117243913351e-10       1.251316882533e-13      -4.097855085190e-12       4.908695793369e-16       7.483183304646e-12       1.208923580080e-12      -6.487898647339e-15 
  112       4.162039969338e-10       1.267830321086e-13      -4.183440809345e-12       4.999678806190e-16       7.305339380539e-12       1.187045566819e-12      -6.436223773318e-15 
  113       4.207027795807e-10       1.283927465344e-13      -4.268253477505e-12       5.091631352188e-16       7.133093733783e-12       1.165767989089e-12      -6.384669083641e-15 
  114       4.252195020665e-10       1.299590702702e-13      -4.352216350828e-12       5.184561600960e-16       6.966058043824e-12       1.145036022528e-12      -6.332458115105e-15 
  115       4.297527763264e-10       1.314802509115e-13      -4.435252089843e-12       5.278477961685e-16       6.803783654062e-12       1.124786955904e-12      -6.278751280255e-15 
  116       4.343012600783e-10       1.329545936535e-13      -4.517283732457e-12       5.373388831257e-16       6.645859895811e-12       1.104964283179e-12      -6.222823283855e-15 
  117       4.388642833790e-10       1.343806120924e-13      -4.598237710599e-12       5.469301796656e-16       6.492226100027e-12       1.085562375054e-12      -6.164622998030e-15 
  118       4.434412902396e-10       1.357568977346e-13      -4.678041247957e-12       5.566224341534e-16       6.342894642044e-12       1.066586867226e-12      -6.104279203499e-15 
  119       4.480316417068e-10       1.370820753144e-13      -4.756621471755e-12       5.664164093946e-16       6.197853650178e-12       1.048040759177e-12      -6.041927893457e-15 
  120       4.526346131887e-10       1.383548042222e-13      -4.833905445631e-12       5.763128827494e-16       6.057066262683e-12       1.029924329399e-12      -5.977712379804e-15 
  121       4.572493917807e-10       1.395737799343e-13      -4.909820202516e-12       5.863126462472e-16       5.920469884707e-12       1.012235050601e-12      -5.911783399376e-15 
  122       4.618750735920e-10       1.407377354412e-13      -4.984292777509e-12       5.964165067011e-16       5.787975445245e-12       9.949675049273e-13      -5.844299220182e-15 
  123       4.665106610708e-10       1.418454426769e-13      -5.057250240754e-12       6.066252858223e-16       5.659466654095e-12       9.781132991714e-13      -5.775425747629e-15 
  124       4.711550603311e-10       1.428957139478e-13      -5.128619730323e-12       6.169398203346e-16       5.534799258813e-12       9.616609799905e-13      -5.705336630760e-15 
  125       4.758070784781e-10       1.438874033617e-13      -5.198328485087e-12       6.273609620893e-16       5.413800301667e-12       9.455959491207e-13      -5.634213368481e-15 
  126       4.804654209347e-10       1.448194082567e-13      -5.266303877595e-12       6.378895781788e-16       5.296267376593e-12       9.299003785911e-13      -5.562245415796e-15 
  127       4.851286887672e-10       1.456906706300e-13      -5.332473446955e-12       6.485265510521e-16       5.181967886150e-12       9.145531259389e-13      -5.489630290039e-15 
  128       4.897953760112e-10       1.465001785674e-13      -5.396764931708e-12       6.592727786287e-16       5.070638298472e-12       8.995296494239e-13      -5.416573677105e-15 
  129       4.944640187946e-10       1.472470080483e-13      -5.459106997248e-12       6.701291476573e-16       4.962040766893e-12       8.848079179545e-13      -5.343268277110e-15 
  130       4.991336668808e-10       1.479304505141e-13      -5.519431438477e-12       6.810964502446e-16       4.856141589644e-12       8.703870539659e-13      -5.269827491937e-15 
  131       5.038034590417e-10       1.485499020597e-13      -5.577671282041e-12       6.921754583436e-16       4.752951014333e-12       8.562705849821e-13      -5.196344630032e-15 
  132       5.084724743258e-10       1.491048260129e-13      -5.633760150923e-12       7.033669496119e-16       4.652467300867e-12       8.424605907529e-13      -5.122913469428e-15 
  133       5.131397304705e-10       1.495947546516e-13      -5.687632302287e-12       7.146717073353e-16       4.554676388869e-12       8.289576613651e-13      -5.049628211853e-15 
  134       5.178041823144e-10       1.500192909221e-13      -5.739222665331e-12       7.260905203505e-16       4.459551565104e-12       8.157608553526e-13      -4.976583436823e-15 
  135       5.224647202091e-10       1.503781101571e-13      -5.788466879130e-12       7.376241829683e-16       4.367053130896e-12       8.028676578075e-13      -4.903874055746e-15 
  136       5.271201684318e-10       1.506709617931e-13      -5.835301330485e-12       7.492734948963e-16       4.277128069551e-12       7.902739384903e-13      -4.831595266015e-15 
  137       5.317692835974e-10       1.508976710887e-13      -5.879663191769e-12       7.610392611625e-16       4.189709713778e-12       7.779739099410e-13      -4.759842505113e-15 
  138       5.364107530707e-10       1.510581408423e-13      -5.921490458777e-12       7.729222920379e-16       4.104717413112e-12       7.659600855896e-13      -4.688711404708e-15 
  139       5.410431933785e-10       1.511523531099e-13      -5.960721988572e-12       7.849234029596e-16       4.022056201330e-12       7.542232378668e-13      -4.618297744755e-15 
  140       5.456651486220e-10       1.511803709235e-13      -5.997297537330e-12       7.970434144540e-16       3.941616463879e-12       7.427523563145e-13      -4.548697407592e-15 
  141       5.502750888887e-10       1.511423400081e-13      -6.031157798191e-12       8.092831520597e-16       3.863273605292e-12       7.315346056965e-13      -4.480006332040e-15 
