# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.378407769776e-10       4.138907513525e-15       3.529781902592e-13       0.000000000000e+00       8.156759946779e-09       4.443694439382e-10      -1.834407259462e-12 
    3       1.305786366147e-10       5.305367721341e-15       3.953955626566e-13       0.000000000000e+00       5.002559254990e-09       3.159194058495e-10      -1.388940342354e-12 
    4       1.236601524478e-10       4.593069418954e-15       3.695284590429e-13       0.000000000000e+00       3.478005076383e-09       2.396207274057e-10      -9.088131991537e-13 
    5       1.184591855015e-10       3.068115327072e-15       3.150071396433e-13       0.000000000000e+00       2.595430840866e-09       1.895296558773e-10      -5.046499728398e-13 
    6       1.148809042037e-10       1.717785877650e-15       2.542841735599e-13       0.000000000000e+00       2.026690332189e-09       1.544184144102e-10      -2.067670554883e-13 
    7       1.125405445359e-10       9.290127302792e-16       2.003280169040e-13       0.000000000000e+00       1.634329560267e-09       1.286396628436e-10      -1.653856481850e-14 
    8       1.111665346428e-10       5.992527095813e-16       1.587079330286e-13       0.000000000000e+00       1.349715064824e-09       1.090812328637e-10       8.081145645242e-14 
    9       1.105165421530e-10       4.806166438043e-16       1.306135594131e-13       0.000000000000e+00       1.135392146160e-09       9.389740712002e-11       1.083815640959e-13 
   10       1.103672477405e-10       4.089647603325e-16       1.147644086006e-13       0.000000000000e+00       9.695096891644e-10       8.186327606220e-11       9.182322218244e-14 
   11       1.106605291578e-10       3.424251755382e-16       1.086089719288e-13       0.000000000000e+00       8.177528203535e-10       7.245211848988e-11       5.511045692261e-14 
   12       1.112481369293e-10       2.965709679739e-16       1.092717042636e-13       0.000000000000e+00       7.142956050154e-10       6.415858638268e-11       1.571014917146e-14 
   13       1.120796851548e-10       2.830013244988e-16       1.142276439306e-13       0.000000000000e+00       6.293983706892e-10       5.742303293210e-11      -1.443236974549e-14 
   14       1.131060395543e-10       2.944326491766e-16       1.215230001746e-13       0.000000000000e+00       5.587895447093e-10       5.154239903514e-11      -3.106752622194e-14 
   15       1.143168047765e-10       3.194293936620e-16       1.298004107711e-13       0.000000000000e+00       4.993743050392e-10       4.659376705119e-11      -3.432757290860e-14 
   16       1.156395101555e-10       3.553136834303e-16       1.383962263693e-13       0.000000000000e+00       4.488727824660e-10       4.232565546046e-11      -2.807272649862e-14 
   17       1.170982352340e-10       4.069101259416e-16       1.470825890496e-13       0.000000000000e+00       4.055633302814e-10       3.859787240471e-11      -1.740851776781e-14 
   18       1.186320448715e-10       4.790330753847e-16       1.559140577531e-13       0.000000000000e+00       3.679831524264e-10       3.534095010731e-11      -7.179306536470e-15 
   19       1.202525728058e-10       5.718763519868e-16       1.650332750755e-13       0.000000000000e+00       3.355324262726e-10       3.251151071557e-11       1.508079336054e-17 
   20       1.219514686479e-10       6.834922636475e-16       1.745711921422e-13       0.000000000000e+00       3.069579984842e-10       3.000119205688e-11       2.450832383244e-15 
   21       1.237307235975e-10       8.133709509557e-16       1.845302218269e-13       0.000000000000e+00       2.818093263802e-10       2.776433020519e-11       6.814288775326e-16 
   22       1.255650078322e-10       9.612211749715e-16       1.947936474968e-13       0.000000000000e+00       2.594830176189e-10       2.574232602585e-11      -3.565019572539e-15 
   23       1.274583299052e-10       1.127400531233e-15       2.050285426629e-13       0.000000000000e+00       2.396711337910e-10       2.392455220551e-11      -8.565387777338e-15 
   24       1.294031212176e-10       1.312341549326e-15       2.147998362235e-13       0.000000000000e+00       2.219147592851e-10       2.229325321313e-11      -1.248799911625e-14 
   25       1.314024427455e-10       1.516466483407e-15       2.238637108825e-13       0.000000000000e+00       2.060043344015e-10       2.083118494288e-11      -1.452905603442e-14 
   26       1.334464621494e-10       1.740325454315e-15       2.320363398558e-13       0.000000000000e+00       1.916511479198e-10       1.950653225173e-11      -1.437367443636e-14 
   27       1.355286148584e-10       1.985514670465e-15       2.392121470580e-13       0.000000000000e+00       1.786825035991e-10       1.830102381421e-11      -1.260392633794e-14 
   28       1.376348859693e-10       2.253969976072e-15       2.453327588459e-13       0.000000000000e+00       1.668743196420e-10       1.719326005680e-11      -1.017350983863e-14 
   29       1.397746941999e-10       2.547114472536e-15       2.504263393828e-13       0.000000000000e+00       1.561660408611e-10       1.618159057557e-11      -7.720082190762e-15 
   30       1.419537370094e-10       2.866232985846e-15       2.545770184840e-13       0.000000000000e+00       1.464424336511e-10       1.526170742925e-11      -5.899049995738e-15 
   31       1.441671870596e-10       3.212552457568e-15       2.578768270669e-13       0.000000000000e+00       1.375048337618e-10       1.442063100671e-11      -5.320530989176e-15 
   32       1.464177672285e-10       3.586978723436e-15       2.602974790503e-13       0.000000000000e+00       1.293069124263e-10       1.364985093588e-11      -5.826737605303e-15 
   33       1.487017530754e-10       3.990247847167e-15       2.617706408731e-13       0.000000000000e+00       1.217905290928e-10       1.293535491503e-11      -6.931850602912e-15 
   34       1.510085955834e-10       4.423064087364e-15       2.622107498950e-13       0.000000000000e+00       1.148502935129e-10       1.225978162370e-11      -8.088542015450e-15 
   35       1.533409178549e-10       4.886376441706e-15       2.614821963126e-13       0.000000000000e+00       1.084505751052e-10       1.162496020609e-11      -9.007422241189e-15 
