# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:a                      3:proper time [Gyr]      4:conf. time [Mpc]       5:H [1/Mpc]              6:comov. dist.           7:ang.diam.dist.         8:lum. dist.             9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)number_ncdm[0]     14:(.)rho_ncdm[0]        15:(.)p_ncdm[0]          16:(.)number_ncdm[1]     17:(.)rho_ncdm[1]        18:(.)p_ncdm[1]          19:(.)number_ncdm[2]     20:(.)rho_ncdm[2]        21:(.)p_ncdm[2]          22:(.)rho_lambda         23:(.)rho_ur             24:(.)rho_crit           25:(.)rho_tot            26:(.)p_tot              27:(.)p_tot_prime        28:gr.fac. D             29:gr.fac. f          
       9.326212236469e+13       1.072246668470e-14       8.689217785360e-26       4.969479050487e-09       1.876787908565e+22       1.414308953673e+04       1.516488063763e-10       1.319014546989e+18       2.868992879098e-09       2.081614238068e+44       2.015409032458e+33       1.081262884409e+34       1.627710334320e+29       6.334645306189e-13       1.597431432393e+43       1.627710334320e+29       6.334645306189e-13       1.597431432393e+43       1.627710334320e+29       6.334645306189e-13       1.597431432393e+43       3.454055557132e-08       3.030326384731e+41       3.522332853735e+44       3.522332853735e+44       1.174110951202e+44      -9.451027622609e+52       7.879594147478e-07       1.433565615564e+01 
       9.261382558559e+13       1.079752395149e-14       8.811292606027e-26       5.004039849155e-09       1.850786213058e+22       1.414308953673e+04       1.527103480209e-10       1.309845627596e+18       2.889075829252e-09       2.024334923495e+44       1.973671132059e+33       1.058870584956e+34       1.594001439144e+29       6.334645306189e-13       1.553475268060e+43       1.594001439144e+29       6.334645306189e-13       1.553475268060e+43       1.594001439144e+29       6.334645306189e-13       1.553475268060e+43       3.454055557132e-08       2.946941569679e+41       3.425409606444e+44       3.425409606444e+44       1.141803202106e+44      -9.127076270185e+52       8.667553562225e-07       1.303241468694e+01 
       9.197003533823e+13       1.087310661916e-14       8.935082455849e-26       5.038600647822e-09       1.825144754403e+22       1.414308953673e+04       1.537793204571e-10       1.300740444484e+18       2.909299360057e-09       1.968631751041e+44       1.932797598298e+33       1.036942016463e+34       1.560990634770e+29       6.334645306189e-13       1.510728635695e+43       1.560990634770e+29       6.334645306189e-13       1.510728635695e+43       1.560990634770e+29       6.334645306189e-13       1.510728635695e+43       3.454055557132e-08       2.865851235979e+41       3.331153374526e+44       3.331153374526e+44       1.110384458134e+44      -8.814228946121e+52       9.455512976972e-07       1.194638012970e+01 
       9.133072029615e+13       1.094921836549e-14       9.060611429271e-26       5.074980435893e-09       1.799858541751e+22       1.414308953673e+04       1.548557757003e-10       1.291698554602e+18       2.929664455577e-09       1.914461350357e+44       1.892770530666e+33       1.015467575342e+34       1.528663464162e+29       6.334645306189e-13       1.469158252876e+43       1.528663464162e+29       6.334645306189e-13       1.469158252876e+43       1.528663464162e+29       6.334645306189e-13       1.469158252876e+43       3.454055557132e-08       2.786992246900e+41       3.239490770312e+44       3.239490770312e+44       1.079830256731e+44      -8.512105039421e+52       1.024347239172e-06       1.102742781203e+01 
       9.069584935070e+13       1.102586289405e-14       9.187903959240e-26       5.109541234560e-09       1.774922653393e+22       1.414308953673e+04       1.559397661302e-10       1.282719517976e+18       2.950172106766e-09       1.861781544502e+44       1.853572399361e+33       9.944378568897e+33       1.497005769678e+29       6.334645306189e-13       1.428731753006e+43       1.497005769678e+29       6.334645306189e-13       1.428731753006e+43       1.497005769678e+29       6.334645306189e-13       1.428731753006e+43       3.454055557132e-08       2.710303203030e+41       3.150350425528e+44       3.150350425528e+44       1.050116808470e+44      -8.220336985237e+52       1.103143180647e-06       1.023975439688e+01 
       9.006539160943e+13       1.110304393431e-14       9.316984821963e-26       5.145921022631e-09       1.750332235813e+22       1.414308953673e+04       1.570313444931e-10       1.273802897693e+18       2.970823311513e-09       1.810551317112e+44       1.815186037615e+33       9.738436511700e+33       1.466003686872e+29       6.334645306189e-13       1.389417660113e+43       1.466003686872e+29       6.334645306189e-13       1.389417660113e+43       1.466003686872e+29       6.334645306189e-13       1.389417660113e+43       3.454055557132e-08       2.635724394471e+41       3.063662935724e+44       3.063662935724e+44       1.021220978536e+44      -7.938569817679e+52       1.181939122121e-06       9.557104103757e+00 
       8.943931639467e+13       1.118076524185e-14       9.447879141727e-26       5.182300810702e-09       1.726082502732e+22       1.414308953673e+04       1.581305639046e-10       1.264948259873e+18       2.991619074694e-09       1.760730780460e+44       1.777594634171e+33       9.536759389776e+33       1.435643638425e+29       6.334645306189e-13       1.351185364344e+43       1.435643638425e+29       6.334645306189e-13       1.351185364344e+43       1.435643638425e+29       6.334645306189e-13       1.351185364344e+43       3.454055557132e-08       2.563197754348e+41       2.979360806237e+44       2.979360806237e+44       9.931202687080e+43      -7.666460737964e+52       1.260735063596e-06       8.959785097272e+00 
       8.881759324197e+13       1.125903059854e-14       9.580612395789e-26       5.218680598773e-09       1.702168734186e+22       1.414308953673e+04       1.592374778519e-10       1.256155173658e+18       3.012560408216e-09       1.712281144399e+44       1.740781725925e+33       9.339258878898e+33       1.405912328192e+29       6.334645306189e-13       1.314005098128e+43       1.405912328192e+29       6.334645306189e-13       1.314005098128e+43       1.405912328192e+29       6.334645306189e-13       1.314005098128e+43       3.454055557132e-08       2.492666813600e+41       2.897378399639e+44       2.897378399639e+44       9.657927998426e+43      -7.403678697372e+52       1.339531005071e-06       8.432738915079e+00 
       8.820019189868e+13       1.133784381273e-14       9.715210419337e-26       5.255060386844e-09       1.678586275600e+22       1.414308953673e+04       1.603521401968e-10       1.247423211180e+18       3.033648331074e-09       1.665164686165e+44       1.704731190712e+33       9.145848483981e+33       1.376796735388e+29       6.334645306189e-13       1.277847913002e+43       1.376796735388e+29       6.334645306189e-13       1.277847913002e+43       1.376796735388e+29       6.334645306189e-13       1.277847913002e+43       3.454055557132e-08       2.424076657013e+41       2.817651884632e+44       2.817651884632e+44       9.392172948412e+43      -7.149903994483e+52       1.418326946545e-06       7.964253419797e+00 
       8.758708232243e+13       1.141720871942e-14       9.851699410518e-26       5.291440174915e-09       1.655330536887e+22       1.414308953673e+04       1.614746051782e-10       1.238751947547e+18       3.054883869391e-09       1.619344721000e+44       1.669427240249e+33       8.956443501201e+33       1.348284108876e+29       6.334645306189e-13       1.242685657072e+43       1.348284108876e+29       6.334645306189e-13       1.242685657072e+43       1.348284108876e+29       6.334645306189e-13       1.242685657072e+43       3.454055557132e-08       2.357373880462e+41       2.740119186352e+44       2.740119186352e+44       9.133730620818e+43      -6.904827886234e+52       1.497122888020e-06       7.545082187175e+00 
