# Matter power spectrum P(k) at redshift z=0
# for k=1.04924e-05 to 1.70209 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049241946348e-05       4.769785475625e+01 
       2.341772117390e-05       1.035212821488e+02 
       3.638880759950e-05       1.584102687507e+02 
       4.944081991441e-05       2.129399567789e+02 
       6.260948465892e-05       2.674407419873e+02 
       7.593143449205e-05       3.221621449508e+02 
       8.944453926989e-05       3.773187829576e+02 
       1.031882518812e-04       4.331092671419e+02 
       1.172039733053e-04       4.897259362761e+02 
       1.315354413905e-04       5.473607555903e+02 
       1.462291478577e-04       6.062094792178e+02 
       1.484340210776e-04       6.150202633778e+02 
       1.613347879680e-04       6.664748604884e+02 
       1.632774231854e-04       6.742090548133e+02 
       1.769057471049e-04       7.283694781987e+02 
       1.796051655039e-04       7.390775137432e+02 
       1.929996281341e-04       7.921182840716e+02 
       1.959329078225e-04       8.037138427439e+02 
       2.096788227122e-04       8.579610780946e+02 
       2.152293305626e-04       8.798240521635e+02 
       2.270111285878e-04       9.261549172884e+02 
       2.360100935134e-04       9.614743166959e+02 
       2.450704131954e-04       9.969766210019e+02 
       2.597595368859e-04       1.054415306935e+03 
       2.639373212548e-04       1.070725236428e+03 
       2.837000203710e-04       1.147724543520e+03 
       2.849933204691e-04       1.152754811874e+03 
       3.044549734446e-04       1.228325437877e+03 
       3.131957844738e-04       1.262191500337e+03 
       3.263077196463e-04       1.312908311049e+03 
       3.443669289001e-04       1.382597584261e+03 
       3.493736363691e-04       1.401885157956e+03 
       3.737786425678e-04       1.495701091598e+03 
       3.770224135372e-04       1.508145829058e+03 
       3.996597889646e-04       1.594835574340e+03 
       4.141309188066e-04       1.650109327738e+03 
       4.271656628068e-04       1.699802358542e+03 
       4.556924447083e-04       1.808249497161e+03 
       4.564565147962e-04       1.811148441639e+03 
       4.877039949574e-04       1.929451054562e+03 
       5.002226510316e-04       1.976709191617e+03 
       5.210903653255e-04       2.055312561256e+03 
       5.477215377765e-04       2.155314929733e+03 
       5.568070448002e-04       2.189352727724e+03 
       5.950523415589e-04       2.332197870628e+03 
       6.026421255752e-04       2.360462040707e+03 
       6.360282487796e-04       2.484465835180e+03 
       6.605313937955e-04       2.575140663631e+03 
       6.799362282703e-04       2.646748693660e+03 
       7.258423630696e-04       2.815451524379e+03 
       7.269719902759e-04       2.819590421896e+03 
       7.773193973842e-04       3.003463651981e+03 
       7.970906931869e-04       3.075350262382e+03 
       8.311437680587e-04       3.198743253599e+03 
       8.742763841472e-04       3.354274689915e+03 
       8.885850107850e-04       3.405682478999e+03 
       9.497511511496e-04       3.624389832748e+03 
       9.603681163723e-04       3.662179275977e+03 
       1.014712883094e-03       3.854813517391e+03 
       1.053881549651e-03       3.992827233461e+03 
       1.083499748631e-03       4.096730644276e+03 
       1.156098412584e-03       4.349748453643e+03 
       1.157785364406e-03       4.355599508170e+03 
       1.232453264513e-03       4.613312346771e+03 
       1.270595220425e-03       4.743997440674e+03 
       1.312469292644e-03       4.886724398535e+03 
       1.395279798130e-03       5.166667169164e+03 
       1.396016896111e-03       5.169144845824e+03 
       1.482938091715e-03       5.459675620708e+03 
       1.528870417100e-03       5.611857698210e+03 
       1.573053468063e-03       5.757369806021e+03 
       1.666169249965e-03       6.061237392710e+03 
       1.677304438177e-03       6.097322018601e+03 
       1.762083937397e-03       6.370291530175e+03 
       1.840581861363e-03       6.620263771849e+03 
       1.860594137646e-03       6.683567000380e+03 
