# Matter power spectrum P(k) at redshift z=0
# for k=1.04952e-05 to 1.70192 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049523816277e-05       4.754086554877e+01 
       2.341961378336e-05       1.031619758950e+02 
       3.638977388885e-05       1.578525246264e+02 
       4.944085212490e-05       2.121854138168e+02 
       6.260856737997e-05       2.664901673173e+02 
       7.592954442332e-05       3.210157237954e+02 
       8.944164486502e-05       3.759754383968e+02 
       1.031843128669e-04       4.315677262517e+02 
       1.171989400673e-04       4.879841112201e+02 
       1.315292542164e-04       5.454166569900e+02 
       1.462217360228e-04       6.040602769779e+02 
       1.484340210776e-04       6.128707376935e+02 
       1.613260686499e-04       6.641176052400e+02 
       1.632774231854e-04       6.718605692826e+02 
       1.768956241097e-04       7.258002638084e+02 
       1.796051655039e-04       7.365130409052e+02 
       1.929879904157e-04       7.893334458829e+02 
       1.959329078225e-04       8.009365603861e+02 
       2.096655426644e-04       8.549559656930e+02 
       2.152293305626e-04       8.768007281578e+02 
       2.269960600907e-04       9.229249665958e+02 
       2.360100935134e-04       9.581921101805e+02 
       2.450533893958e-04       9.935170228629e+02 
       2.597595368859e-04       1.050845308258e+03 
       2.639181520665e-04       1.067030933344e+03 
       2.836784896862e-04       1.143790212524e+03 
       2.849933204691e-04       1.148888910171e+03 
       3.044308360584e-04       1.224145813470e+03 
       3.131957844738e-04       1.258008268526e+03 
       3.262806979122e-04       1.308478296608e+03 
       3.443669289001e-04       1.378080439147e+03 
       3.493434166288e-04       1.397199944935e+03 
       3.737448714317e-04       1.490756723405e+03 
       3.770224135372e-04       1.503298978252e+03 
       3.996220695648e-04       1.589628954010e+03 
       4.141309188066e-04       1.644914066094e+03 
       4.271235512013e-04       1.694331273428e+03 
       4.556924447083e-04       1.802698758933e+03 
       4.564095167777e-04       1.805413612489e+03 
       4.876515635987e-04       1.923454788234e+03 
       5.002226510316e-04       1.970819998071e+03 
       5.210318996844e-04       2.049060834469e+03 
       5.477215377765e-04       2.149114797314e+03 
       5.567418902846e-04       2.182855672947e+03 
       5.949797925120e-04       2.325470713231e+03 
       6.026421255752e-04       2.353968465548e+03 
       6.359475538477e-04       2.477530323101e+03 
       6.605313937955e-04       2.568415754145e+03 
       6.798465990438e-04       2.639634098132e+03 
       7.258423630696e-04       2.808561723574e+03 
       7.268726135074e-04       2.812334826296e+03 
       7.772094507788e-04       2.996114707308e+03 
       7.970906931869e-04       3.068395333280e+03 
       8.310224392011e-04       3.191359782775e+03 
       8.742763841472e-04       3.347380272842e+03 
       8.884515182669e-04       3.398334326446e+03 
       9.496047664713e-04       3.617158354063e+03 
       9.603681163723e-04       3.655505166142e+03 
       1.014552951558e-03       3.847790598705e+03 
       1.053881549651e-03       3.986561617618e+03 
       1.083325707326e-03       4.090018289207e+03 
       1.155909803773e-03       4.343456169821e+03 
       1.157785364406e-03       4.349974804417e+03 
       1.232249743224e-03       4.607554954998e+03 
       1.270595220425e-03       4.739262926770e+03 
       1.312250628015e-03       4.881620307635e+03 
       1.395279798130e-03       5.163114305168e+03 
       1.395782966797e-03       5.164810948990e+03 
       1.482688876339e-03       5.456226667958e+03 
       1.528870417100e-03       5.609758334923e+03 
       1.572789032125e-03       5.754913924036e+03 
       1.665889730762e-03       6.059875550236e+03 
       1.677304438177e-03       6.097009308735e+03 
       1.761789528416e-03       6.370113212529e+03 
       1.840581861363e-03       6.622061432746e+03 
       1.860285073599e-03       6.684650774211e+03 
       1.961175919409e-03       7.002552518854e+03 
       2.033546088764e-03       7.227929713274e+03 
       2.064268248642e-03       7.322937248116e+03 
       2.169377557584e-03       7.644987406653e+03 
       2.226510316164e-03       7.818102506555e+03 
       2.276330416330e-03       7.967953016959e+03 
       2.384965459290e-03       8.291153749110e+03 
       2.449161347781e-03       8.479867817105e+03 
       2.495133767851e-03       8.613979425881e+03 
       2.606698797356e-03       8.935883555428e+03 
       2.686655781505e-03       9.163515036734e+03 
       2.719535980811e-03       9.256383976423e+03 
       2.833532118153e-03       9.575054679429e+03 
       2.938993617337e-03       9.865337660315e+03 
       2.948584636452e-03       9.891522139683e+03 
       3.064600785261e-03       1.020546169151e+04 
       3.181496813529e-03       1.051659034456e+04 
       3.235861659492e-03       1.065953026275e+04 
       3.299197160175e-03       1.082466240439e+04 
       3.417633679368e-03       1.112946655896e+04 
       3.536744913288e-03       1.143082395563e+04 
       3.547573103755e-03       1.145796401766e+04 
       3.656475419156e-03       1.172857822054e+04 
       3.776775153117e-03       1.202260054665e+04 
       3.888971352234e-03       1.229222992174e+04 
       3.897598910715e-03       1.231278165451e+04 
       4.018905821867e-03       1.259902827342e+04 
       4.140658897113e-03       1.288126936667e+04 
       4.262824621330e-03       1.315944203361e+04 
       4.274899807036e-03       1.318666677542e+04 
       4.385372590874e-03       1.343350162503e+04 
       4.508275190043e-03       1.370341050609e+04 
       4.631507302974e-03       1.396914297330e+04 
       4.690515066053e-03       1.409466870746e+04 
       4.755046057237e-03       1.423068333909e+04 
       4.878870595729e-03       1.448801900195e+04 
       5.002961873725e-03       1.474115134719e+04 
       5.127302478274e-03       1.499007723816e+04 
