# Matter power spectrum P(k) at redshift z=0
# for k=1.04914e-05 to 1.70191 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049143718344e-05       4.762645501204e+01 
       2.341577975080e-05       1.033672506184e+02 
       3.638589630834e-05       1.581752068647e+02 
       4.943692017393e-05       2.126241626746e+02 
       6.260456980984e-05       2.670442913786e+02 
       7.592546945528e-05       3.216845245075e+02 
       8.943748007949e-05       3.767592543414e+02 
       1.031800450843e-04       4.324667651516e+02 
       1.171945552190e-04       4.889991664091e+02 
       1.315247372039e-04       5.465479940394e+02 
       1.462170705637e-04       6.053088399763e+02 
       1.484340210776e-04       6.141554899394e+02 
       1.613212371089e-04       6.654841096332e+02 
       1.632774231854e-04       6.732613879508e+02 
       1.768906073130e-04       7.272860418134e+02 
       1.796051655039e-04       7.380391143474e+02 
       1.929827674470e-04       7.909393617223e+02 
       1.959329078225e-04       8.025853205793e+02 
       2.096600906415e-04       8.566834433176e+02 
       2.152293305626e-04       8.785898343475e+02 
       2.269903539212e-04       9.247751598808e+02 
       2.360100935134e-04       9.601274092409e+02 
       2.450474015131e-04       9.954910061018e+02 
       2.597595368859e-04       1.052941224953e+03 
       2.639118521443e-04       1.069129715242e+03 
       2.836718443367e-04       1.146014908237e+03 
       2.849933204691e-04       1.151147874355e+03 
       3.044238085165e-04       1.226497201952e+03 
       3.131957844738e-04       1.260439338414e+03 
       3.262732477135e-04       1.310956979371e+03 
       3.443669289001e-04       1.380689729831e+03 
       3.493354992933e-04       1.399806169681e+03 
       3.737364381675e-04       1.493490106234e+03 
       3.770224135372e-04       1.506081375692e+03 
       3.996130670154e-04       1.592488782539e+03 
       4.141309188066e-04       1.647876729686e+03 
       4.271139212657e-04       1.697316681096e+03 
       4.556924447083e-04       1.805843347511e+03 
       4.563991965393e-04       1.808522041529e+03 
       4.876404854114e-04       1.926683885683e+03 
       5.002226510316e-04       1.974137589450e+03 
       5.210199914663e-04       2.052407195357e+03 
       5.477215377765e-04       2.152594039142e+03 
       5.567290760792e-04       2.186315148926e+03 
       5.949659933713e-04       2.329038392501e+03 
       6.026421255752e-04       2.357608536104e+03 
       6.359326890854e-04       2.481200669664e+03 
       6.605313937955e-04       2.572198996766e+03 
       6.798305878818e-04       2.643400803313e+03 
       7.258423630696e-04       2.812479309268e+03 
       7.268553771070e-04       2.816191143788e+03 
       7.771909145954e-04       3.000053290240e+03 
       7.970906931869e-04       3.072432045153e+03 
       8.310025355456e-04       3.195372400961e+03 
       8.742763841472e-04       3.351518517375e+03 
       8.884301888974e-04       3.402411860204e+03 
       9.495819649950e-04       3.621290623830e+03 
       9.603681163723e-04       3.659727773757e+03 
       1.014528645404e-03       3.851966010202e+03 
       1.053881549651e-03       3.990844839985e+03 
       1.083299879077e-03       4.094224074215e+03 
       1.155882451690e-03       4.347679064364e+03 
       1.157785364406e-03       4.354293171858e+03 
       1.232220880920e-03       4.611782418283e+03 
       1.270595220425e-03       4.743589501607e+03 
       1.312220283321e-03       4.885840713275e+03 
       1.395279798130e-03       5.167426405273e+03 
       1.395751179951e-03       5.169015815840e+03 
       1.482655697731e-03       5.460409403840e+03 
       1.528870417100e-03       5.614039911786e+03 
       1.572754519813e-03       5.759069692346e+03 
       1.665853947998e-03       6.064000031450e+03 
       1.677304438177e-03       6.101246384533e+03 
       1.761752541341e-03       6.374201292858e+03 
       1.840581861363e-03       6.626236578987e+03 
       1.860246949243e-03       6.688696266965e+03 
       1.961136724056e-03       7.006548023244e+03 
       2.033546088764e-03       7.232008740551e+03 
       2.064228046560e-03       7.326874262470e+03 
       2.169336410119e-03       7.648855351947e+03 
       2.226510316164e-03       7.822054121354e+03 
       2.276288381299e-03       7.971739026396e+03 
       2.384922590640e-03       8.294841940838e+03 
       2.449161347781e-03       8.483616245650e+03 
       2.495090115514e-03       8.617549203578e+03 
       2.606654407254e-03       8.939312223657e+03 
       2.686655781505e-03       9.166955399963e+03 
       2.719490894970e-03       9.259646084563e+03 
       2.833486374890e-03       9.578122962864e+03 
       2.938993617337e-03       9.868328985406e+03 
       2.948538270603e-03       9.894367795590e+03 
       3.064553828433e-03       1.020805317629e+04 
       3.181449294361e-03       1.051889534639e+04 
       3.235861659492e-03       1.066181617766e+04 
       3.299149104596e-03       1.082664728983e+04 
       3.417585110843e-03       1.113109810593e+04 
       3.536695853055e-03       1.143206839361e+04 
       3.547573103755e-03       1.145929513126e+04 
       3.656425886439e-03       1.172940254663e+04 
       3.776725165328e-03       1.202297080052e+04 
       3.888971352234e-03       1.229226820108e+04 
       3.897548483637e-03       1.231266421464e+04 
       4.018854969818e-03       1.259839020900e+04 
       4.140607633092e-03       1.288007805502e+04 
       4.262772957157e-03       1.315766560338e+04 
       4.274899807036e-03       1.318494738809e+04 
       4.385320537303e-03       1.343110895695e+04 
       4.508222756876e-03       1.370036980624e+04 
       4.631454499152e-03       1.396542349114e+04 
       4.690515066053e-03       1.409072643205e+04 
       4.754992890927e-03       1.422625526601e+04 
       4.878817074401e-03       1.448285360117e+04 
       5.002908004220e-03       1.473521950705e+04 
       5.127248266865e-03       1.498335057654e+04 
       5.150660531394e-03       1.502954188944e+04 
       5.251821919835e-03       1.522725985215e+04 
       5.376614348372e-03       1.546695775403e+04 
       5.501612137708e-03       1.570245979732e+04 
       5.626802959046e-03       1.593379198677e+04 
       5.655336203058e-03       1.598588776283e+04 
       5.752175467701e-03       1.616097183880e+04 
       5.877719212010e-03       1.638402601302e+04 
       6.003424551771e-03       1.660298736037e+04 
       6.129282585140e-03       1.681788149499e+04 
       6.204542081045e-03       1.694433538534e+04 
       6.255285083022e-03       1.702874246069e+04 
       6.381424430125e-03       1.723560396587e+04 
       6.507693571922e-03       1.743849868755e+04 
       6.634085966885e-03       1.763746305577e+04 
       6.760595543401e-03       1.783254114180e+04 
       6.813121567463e-03       1.791235089348e+04 
       6.887216660869e-03       1.802376055323e+04 
       7.013944074527e-03       1.821116434269e+04 
       7.140772903615e-03       1.839479165918e+04 
       7.267698602521e-03       1.857467077213e+04 
       7.394716934590e-03       1.875085190279e+04 
       7.481074662313e-03       1.886847584444e+04 
       7.521823948345e-03       1.892337819474e+04 
       7.649015955847e-03       1.909227275251e+04 
       7.776289512996e-03       1.925759087223e+04 
       7.903641401571e-03       1.941936183479e+04 
       8.031068612843e-03       1.957762828744e+04 
       8.158568332598e-03       1.973242042466e+04 
       8.223244767701e-03       1.980960076423e+04 
       8.286137927447e-03       1.988379221600e+04 
       8.413774932286e-03       2.003178279629e+04 
       8.541477038812e-03       2.017641786670e+04 
       8.669242084977e-03       2.031774503840e+04 
       8.797068045320e-03       2.045579450963e+04 
       8.924953022065e-03       2.059061354736e+04 
       9.024788481520e-03       2.069358917750e+04 
       9.052895236947e-03       2.072223026358e+04 
       9.180893023675e-03       2.085069151396e+04 
       9.308944820996e-03       2.097603144961e+04 
       9.437049166292e-03       2.109828049815e+04 
       9.565204689671e-03       2.121748013630e+04 
       9.693410108517e-03       2.133366972516e+04 
       9.821664222439e-03       2.144687811460e+04 
       9.900549205878e-03       2.151502014869e+04 
       9.949965908612e-03       2.155713729921e+04 
       1.007831411746e-02       2.166449455569e+04 
       1.020670786864e-02       2.176896977141e+04 
       1.033514624739e-02       2.187061158732e+04 
       1.046362840100e-02       2.196944509443e+04 
       1.059215353572e-02       2.206550451163e+04 
       1.072072091376e-02       2.215882711041e+04 
       1.084932985051e-02       2.224943912287e+04 
       1.088021374499e-02       2.227079688662e+04 
       1.097797971207e-02       2.233737929051e+04 
       1.110666991279e-02       2.242268162216e+04 
       1.123539991313e-02       2.250537175018e+04 
       1.136416921760e-02       2.258547699896e+04 
       1.149297737280e-02       2.266303870343e+04 
       1.162182396573e-02       2.273807709979e+04 
       1.175070862209e-02       2.281063315213e+04 
       1.187963100477e-02       2.288073305364e+04 
       1.193409529464e-02       2.290961367138e+04 
       1.200859081238e-02       2.294840818172e+04 
