# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380888994528e-10       4.138692808464e-15       3.531732908246e-13       2.240543612205e-19       8.143601136120e-09       4.451384294798e-10      -1.834139936368e-12 
    3       1.308215940830e-10       5.306768030250e-15       3.957190532232e-13       4.482010690211e-19       4.997466841437e-09       3.167047673585e-10      -1.389250161786e-12 
    4       1.238873550712e-10       4.596042252394e-15       3.699611161502e-13       7.472051539511e-19       3.475376504115e-09       2.403130532894e-10      -9.094050981771e-13 
    5       1.186701598938e-10       3.071534237896e-15       3.154201683153e-13       1.121184670340e-18       2.593643006706e-09       1.901434132126e-10      -5.053563592059e-13 
    6       1.150776793144e-10       1.720634677400e-15       2.545641544846e-13       1.570282942244e-18       2.025351474090e-09       1.549587740671e-10      -2.074847884414e-13 
    7       1.127195563902e-10       9.310801459544e-16       2.004275891619e-13       2.094665924005e-18       1.633179349685e-09       1.290996714441e-10      -1.721835705076e-14 
    8       1.113304533724e-10       6.009933335137e-16       1.586471089093e-13       2.694519213907e-18       1.348645239252e-09       1.094679353426e-10       8.017910508479e-14 
    9       1.106727617181e-10       4.827702702737e-16       1.304580292437e-13       3.370044808865e-18       1.134404951832e-09       9.423475684124e-11       1.077870462753e-13 
   10       1.105126505879e-10       4.122102140364e-16       1.146018571364e-13       4.121457694284e-18       9.686114990260e-10       8.216807382343e-11       9.125155249145e-14 
   11       1.108009103238e-10       3.471920231106e-16       1.085123852581e-13       4.948982366198e-18       8.170886248617e-10       7.272742977109e-11       5.455868898990e-14 
   12       1.113797970437e-10       3.029985346400e-16       1.092723915913e-13       5.852849382375e-18       7.137107468592e-10       6.438767554776e-11       1.515350852407e-14 
   13       1.122009167007e-10       2.909947294743e-16       1.143320890311e-13       6.833292035336e-18       6.288777327073e-10       5.761676227216e-11      -1.498415358612e-14 
   14       1.132273395127e-10       3.037616691920e-16       1.217171510294e-13       7.890543233343e-18       5.583229074763e-10       5.173020447881e-11      -3.158348468408e-14 
   15       1.144373193678e-10       3.298469295395e-16       1.300392520133e-13       9.024832665684e-18       4.989528918168e-10       4.676612819139e-11      -3.481084978504e-14 
   16       1.157515883901e-10       3.666719845762e-16       1.386333355127e-13       1.023638431634e-17       4.484897044066e-10       4.247573416311e-11      -2.851359987570e-14 
   17       1.172062784455e-10       4.192125362756e-16       1.472924265820e-13       1.152541437586e-17       4.052132121085e-10       3.872381935550e-11      -1.780281004301e-14 
   18       1.187370192684e-10       4.924359351911e-16       1.560744430108e-13       1.289212941318e-17       3.676617908204e-10       3.545932024762e-11      -7.516110492570e-15 
   19       1.203556082951e-10       5.865991985568e-16       1.651378043843e-13       1.433672603282e-17       3.352359686944e-10       3.263196439654e-11      -2.619488862692e-16 
   20       1.220562157407e-10       6.997790391860e-16       1.746365672190e-13       1.585938820405e-17       3.066836579101e-10       3.011569143906e-11       2.219054598680e-15 
   21       1.238373929469e-10       8.314393913181e-16       1.845769561624e-13       1.746028962079e-17       2.815546306572e-10       2.786455154620e-11       4.740101883964e-16 
   22       1.256691383579e-10       9.812302217161e-16       1.948384610854e-13       1.913959077566e-17       2.592458885579e-10       2.582660088258e-11      -3.768621377585e-15 
   23       1.275592271880e-10       1.149440909236e-15       2.050848779939e-13       2.089744269698e-17       2.394497120442e-10       2.399823340293e-11      -8.772141808341e-15 
   24       1.295054863024e-10       1.336434985909e-15       2.148758158474e-13       2.273398397151e-17       2.217075388193e-10       2.236680047935e-11      -1.268728349105e-14 
   25       1.315063139578e-10       1.542635392907e-15       2.239569068681e-13       2.464934609772e-17       2.058099429993e-10       2.090580406809e-11      -1.470983924839e-14 
   26       1.335453439555e-10       1.768617780125e-15       2.321330251524e-13       2.664364989637e-17       1.914684059542e-10       1.957158776171e-11      -1.453104596825e-14 
   27       1.356210581000e-10       2.015993912337e-15       2.393001624310e-13       2.871701065692e-17       1.785103599781e-10       1.835315360687e-11      -1.274019884810e-14 
   28       1.377274007472e-10       2.286714417556e-15       2.454055862611e-13       3.086953568431e-17       1.667119028179e-10       1.724121861649e-11      -1.029750028230e-14 
   29       1.398731100848e-10       2.582215739707e-15       2.504788898766e-13       3.310133270374e-17       1.560125220741e-10       1.623275779617e-11      -7.837515763226e-15 
   30       1.420597558887e-10       2.903798107654e-15       2.546045474527e-13       3.541250283932e-17       1.462970707268e-10       1.531669500101e-11      -6.008201505702e-15 
   31       1.442783754836e-10       3.252703586983e-15       2.578755024769e-13       3.780314058621e-17       1.373670393138e-10       1.447342304368e-11      -5.412831944774e-15 
   32       1.465321817429e-10       3.629839217576e-15       2.602661718973e-13       4.027334442517e-17       1.291761291228e-10       1.369576854258e-11      -5.897399467776e-15 
   33       1.488196897721e-10       4.035936722747e-15       2.617120384799e-13       4.282320997201e-17       1.216662395001e-10       1.297418913955e-11      -6.984362276716e-15 
   34       1.511323113617e-10       4.471692688000e-15       2.621306970328e-13       4.545282870271e-17       1.147320586916e-10       1.229563449559e-11      -8.133917748075e-15 
   35       1.534713090118e-10       4.938041203106e-15       2.613837725696e-13       4.816229322409e-17       1.083379760883e-10       1.166135916765e-11      -9.053682789199e-15 
   36       1.558350150075e-10       5.435969983690e-15       2.592989969298e-13       5.095169395135e-17       1.024325778344e-10       1.107456059544e-11      -9.488521357223e-15 
   37       1.582176791637e-10       5.966412629890e-15       2.557161731144e-13       5.382111734124e-17       9.693887226822e-11       1.053550287734e-11      -9.227578218850e-15 
   38       1.606239524901e-10       6.530131867484e-15       2.506168378663e-13       5.677064425316e-17       9.184260969121e-11       1.004201203005e-11      -8.418493131979e-15 
   39       1.630580506839e-10       7.127791292505e-15       2.440378635822e-13       5.980035116845e-17       8.712757859102e-11       9.588600877334e-12      -7.360567441943e-15 
   40       1.655191789830e-10       7.759980501325e-15       2.360384893091e-13       6.291031070289e-17       8.274874266015e-11       9.165932814262e-12      -6.426779184843e-15 
   41       1.680037676827e-10       8.427251281593e-15       2.266763629579e-13       6.610058889277e-17       7.864791974179e-11       8.763719605859e-12      -5.966480550342e-15 
   42       1.705143656872e-10       9.130251868528e-15       2.159230241837e-13       6.937123585497e-17       7.481300074240e-11       8.381306654521e-12      -5.963934741443e-15 
   43       1.730527236554e-10       9.869628331721e-15       2.037231936157e-13       7.272229218131e-17       7.123377699035e-11       8.020003330662e-12      -6.276645286588e-15 
   44       1.756169146718e-10       1.064598543014e-14       1.900173380585e-13       7.615379131479e-17       6.788417083964e-11       7.680075092005e-12      -6.725622945278e-15 
   45       1.782032948533e-10       1.145988098429e-14       1.747480537743e-13       7.966575597950e-17       6.473154304631e-11       7.360975114778e-12      -7.134628905786e-15 
