# Matter power spectrum P(k) at redshift z=0
# for k=1.04917e-05 to 1.70191 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049166651011e-05       4.762234721014e+01 
       2.341603934735e-05       1.033573919887e+02 
       3.638618704627e-05       1.581594818576e+02 
       4.943724317568e-05       2.126027606168e+02 
       6.260492646054e-05       2.670171028567e+02 
       7.592586141838e-05       3.216516783760e+02 
       8.943790931651e-05       3.767207346489e+02 
       1.031805138790e-04       4.324224458218e+02 
       1.171950662061e-04       4.889488407855e+02 
       1.315252934032e-04       5.464917225850e+02 
       1.462176754204e-04       6.052464921536e+02 
       1.484340210776e-04       6.140897951155e+02 
       1.613218945392e-04       6.654156178678e+02 
       1.632774231854e-04       6.731893706321e+02 
       1.768913217578e-04       7.272111158586e+02 
       1.796051655039e-04       7.379603279250e+02 
       1.929835439322e-04       7.908578155368e+02 
       1.959329078225e-04       8.024995002987e+02 
       2.096609348476e-04       8.565953237369e+02 
       2.152293305626e-04       8.784960554401e+02 
       2.269912722616e-04       9.246802063624e+02 
       2.360100935134e-04       9.600249289214e+02 
       2.450484012213e-04       9.953887843084e+02 
       2.597595368859e-04       1.052829022809e+03 
       2.639129413725e-04       1.069019950775e+03 
       2.836730322630e-04       1.145897455176e+03 
       2.849933204691e-04       1.151025270114e+03 
       3.044251054628e-04       1.226371778596e+03 
       3.131957844738e-04       1.260305184282e+03 
       3.262746652712e-04       1.310823110985e+03 
       3.443669289001e-04       1.380542983814e+03 
       3.493370504556e-04       1.399663321080e+03 
       3.737381374647e-04       1.493338192740e+03 
       3.770224135372e-04       1.505921560334e+03 
       3.996149306469e-04       1.592326975643e+03 
       4.141309188066e-04       1.647702088432e+03 
       4.271159672217e-04       1.697144674309e+03 
       4.556924447083e-04       1.805652695686e+03 
       4.564014447018e-04       1.808339527993e+03 
       4.876429576202e-04       1.926490071435e+03 
       5.002226510316e-04       1.973929690202e+03 
       5.210227115331e-04       2.052201527823e+03 
       5.477215377765e-04       2.152367954010e+03 
       5.567320697308e-04       2.186096625168e+03 
       5.949692880998e-04       2.328806417708e+03 
       6.026421255752e-04       2.357361577168e+03 
       6.359363138856e-04       2.480954575607e+03 
       6.605313937955e-04       2.571930239787e+03 
       6.798345728587e-04       2.643139808090e+03 
       7.258423630696e-04       2.812186240090e+03 
       7.268597529451e-04       2.815913780065e+03 
       7.771957118950e-04       2.999758899111e+03 
       7.970906931869e-04       3.072112864062e+03 
       8.310077840494e-04       3.195059686047e+03 
       8.742763841472e-04       3.351170933784e+03 
       8.884359166481e-04       3.402079703102e+03 
       9.495881974866e-04       3.620937889400e+03 
       9.603681163723e-04       3.659348841814e+03 
       1.014535404797e-03       3.851591179282e+03 
       1.053881549651e-03       3.990431531557e+03 
       1.083307183554e-03       4.093825170904e+03 
       1.155890315015e-03       4.347254951804e+03 
       1.157785364406e-03       4.353840886602e+03 
       1.232229312238e-03       4.611331477034e+03 
       1.270595220425e-03       4.743094356055e+03 
       1.312229287210e-03       4.885360395751e+03 
       1.395279798130e-03       5.166883212043e+03 
       1.395760756711e-03       5.168504575189e+03 
       1.482665843851e-03       5.459864908648e+03 
       1.528870417100e-03       5.613443523555e+03 
       1.572765228565e-03       5.758490509905e+03 
       1.665865210089e-03       6.063383057153e+03 
       1.677304438177e-03       6.100587767520e+03 
       1.761764345569e-03       6.373544589011e+03 
       1.840581861363e-03       6.625507520481e+03 
       1.860259283107e-03       6.687997894400e+03 
       1.961149574289e-03       7.005805825847e+03 
       2.033546088764e-03       7.231193223776e+03 
       2.064241399582e-03       7.326085613581e+03 
       2.169350252389e-03       7.648018977878e+03 
       2.226510316164e-03       7.821148409411e+03 
       2.276302699591e-03       7.970852975647e+03 
       2.384937372232e-03       8.293903990355e+03 
       2.449161347781e-03       8.482603415533e+03 
       2.495105348321e-03       8.616557690423e+03 
       2.606670079904e-03       8.938266056404e+03 
       2.686655781505e-03       9.165824232941e+03 
       2.719506996843e-03       9.258543972517e+03 
       2.833502896125e-03       9.576963507807e+03 
       2.938993617337e-03       9.867070126795e+03 
       2.948555202086e-03       9.893150158244e+03 
       3.064571161770e-03       1.020677652366e+04 
       3.181467021838e-03       1.051755936939e+04 
       3.235861659492e-03       1.066040555922e+04 
