# Matter power spectrum P(k) at redshift z=0
# for k=1.04927e-05 to 1.70203 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049270466234e-05       4.764148715227e+01 
       2.341767162670e-05       1.033960129947e+02 
       3.638842125109e-05       1.582172629167e+02 
       4.944009197716e-05       2.126796409119e+02 
       6.260840755041e-05       2.671131149403e+02 
       7.592999773117e-05       3.217668796543e+02 
       8.944272932959e-05       3.768552653383e+02 
       1.031860519955e-04       4.325766268567e+02 
       1.172013632270e-04       4.891230433830e+02 
       1.315323970964e-04       5.466862066080e+02 
       1.462256411950e-04       6.054616070576e+02 
       1.484340210776e-04       6.142756800261e+02 
       1.613307862375e-04       6.656517235468e+02 
       1.632774231854e-04       6.733924150451e+02 
       1.769012125743e-04       7.274688297409e+02 
       1.796051655039e-04       7.381817655863e+02 
       1.929945174742e-04       7.911375480924e+02 
       1.959329078225e-04       8.027390931709e+02 
       2.096730863489e-04       8.568972952018e+02 
       2.152293305626e-04       8.787560306600e+02 
       2.270047099631e-04       9.250047703853e+02 
       2.360100935134e-04       9.603058801657e+02 
       2.450632479305e-04       9.957363798593e+02 
       2.597595368859e-04       1.053132070149e+03 
       2.639293362090e-04       1.069390678359e+03 
       2.836911325961e-04       1.146290884724e+03 
       2.849933204691e-04       1.151349419790e+03 
       3.044450890342e-04       1.226787340738e+03 
       3.131957844738e-04       1.260649165763e+03 
       3.262967324885e-04       1.311259746393e+03 
       3.443669289001e-04       1.380903184218e+03 
       3.493614268206e-04       1.400119275300e+03 
       3.737650760786e-04       1.493810207334e+03 
       3.770224135372e-04       1.506290938444e+03 
       3.996447147009e-04       1.592810963780e+03 
       4.141309188066e-04       1.648070091186e+03 
       4.271489123419e-04       1.697634149710e+03 
       4.556924447083e-04       1.806000790057e+03 
       4.564379009647e-04       1.808825308903e+03 
       4.876833110010e-04       1.926960083955e+03 
       5.002226510316e-04       1.974231279617e+03 
       5.210673844890e-04       2.052638945193e+03 
       5.477215377765e-04       2.152585846867e+03 
       5.567815205670e-04       2.186479356549e+03 
       5.950240087347e-04       2.329104765695e+03 
