# Matter power spectrum P(k) at redshift z=0
# for k=1.04909e-05 to 1.70209 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049092400193e-05       4.765936928030e+01 
       2.341621606753e-05       1.034455584996e+02 
       3.638728874698e-05       1.582978094719e+02 
       4.943928311290e-05       2.127909208070e+02 
       6.260792556602e-05       2.672550917703e+02 
       7.592984858605e-05       3.219396177410e+02 
       8.944292180774e-05       3.770589782401e+02 
       1.031865978536e-04       4.328116527321e+02 
       1.172022773883e-04       4.893898077821e+02 
       1.315336978934e-04       5.469852945058e+02 
       1.462273506659e-04       6.057936718319e+02 
       1.484340210776e-04       6.146055695894e+02 
       1.613329304808e-04       6.660175007993e+02 
       1.632774231854e-04       6.737538272571e+02 
       1.769038221673e-04       7.278692478312e+02 
       1.796051655039e-04       7.385775257016e+02 
       1.929976279625e-04       7.915736271061e+02 
       1.959329078225e-04       8.031690085093e+02 
       2.096767388128e-04       8.573701775674e+02 
       2.152293305626e-04       8.792260509480e+02 
       2.270089516685e-04       9.255157430644e+02 
       2.360100935134e-04       9.608187144268e+02 
       2.450681330699e-04       9.962868827236e+02 
       2.597595368859e-04       1.053693520223e+03 
       2.639349267402e-04       1.069982393465e+03 
       2.836974991793e-04       1.146925630163e+03 
       2.849933204691e-04       1.151962049083e+03 
       3.044523120705e-04       1.227467047888e+03 
       3.131957844738e-04       1.261318427592e+03 
       3.263049032530e-04       1.311986678695e+03 
       3.443669289001e-04       1.381634566331e+03 
       3.493706486772e-04       1.400896032168e+03 
       3.737754657526e-04       1.494639455538e+03 
       3.770224135372e-04       1.507086754322e+03 
       3.996564035708e-04       1.593695794918e+03 
       4.141309188066e-04       1.648938591809e+03 
       4.271620476908e-04       1.698577957475e+03 
       4.556924447083e-04       1.806950188085e+03 
       4.564526471095e-04       1.809832077396e+03 
       4.876998501893e-04       1.928034218178e+03 
       5.002226510316e-04       1.975267403288e+03 
       5.210859174226e-04       2.053785242700e+03 
       5.477215377765e-04       2.153714543375e+03 
       5.568022663846e-04       2.187703474088e+03 
       5.950472042645e-04       2.330413001635e+03 
       6.026421255752e-04       2.358668937361e+03 
       6.360227237235e-04       2.482529610978e+03 
       6.605313937955e-04       2.573131763516e+03 
       6.799302866659e-04       2.644642367960e+03 
       7.258423630696e-04       2.813181110994e+03 
       7.269656041844e-04       2.817292047517e+03 
       7.773125405792e-04       3.000947043383e+03 
       7.970906931869e-04       3.072769848120e+03 
       8.311364169609e-04       3.195977763278e+03 
       8.742763841472e-04       3.351324706507e+03 
       8.885771454004e-04       3.402631625312e+03 
       9.497427559311e-04       3.621010601154e+03 
       9.603681163723e-04       3.658770391502e+03 
       1.014703947638e-03       3.851054988304e+03 
       1.053881549651e-03       3.988856204788e+03 
       1.083490268133e-03       4.092533831687e+03 
       1.156088387999e-03       4.345045190295e+03 
       1.157785364406e-03       4.350919090424e+03 
       1.232442702395e-03       4.608024971555e+03 
       1.270595220425e-03       4.738434334610e+03 
       1.312458204702e-03       4.880765596551e+03 
       1.395279798130e-03       5.159985753838e+03 
       1.396005298513e-03       5.162417312715e+03 
       1.482926004242e-03       5.452076224989e+03 
       1.528870417100e-03       5.603807392505e+03 
       1.573040913184e-03       5.748786172427e+03 
       1.666156251923e-03       6.051553136123e+03 
       1.677304438177e-03       6.087542850456e+03 
       1.762070521362e-03       6.359387321309e+03 
       1.840581861363e-03       6.608346350542e+03 
       1.860580328990e-03       6.671327621765e+03 
       1.961485199789e-03       6.986448175836e+03 
       2.033546088764e-03       7.208788663411e+03 
       2.064591299558e-03       7.303889207395e+03 
       2.169714116732e-03       7.622849228234e+03 
       2.226510316164e-03       7.793229224007e+03 
       2.276680220769e-03       7.942602423413e+03 
       2.385328250883e-03       8.262488845097e+03 
       2.449161347781e-03       8.448155426227e+03 
       2.495509297183e-03       8.581919067187e+03 
       2.607086826381e-03       8.900368151378e+03 
       2.686655781505e-03       9.124410827561e+03 
       2.719936284493e-03       9.217370435872e+03 
       2.833944485330e-03       9.532519992220e+03 
       2.938993617337e-03       9.818421988907e+03 
       2.949008870120e-03       9.845456088732e+03 
       3.065036702438e-03       1.015587007813e+04 
       3.181944244826e-03       1.046348856440e+04 
       3.235861659492e-03       1.060364042245e+04 
       3.299655949184e-03       1.076807648223e+04 
       3.418103681928e-03       1.106943109354e+04 
       3.537225996694e-03       1.136737539370e+04 
       3.547573103755e-03       1.139301604265e+04 
       3.656967461342e-03       1.166176513886e+04 
       3.777278041854e-03       1.195246523284e+04 
       3.888971352234e-03       1.221784037798e+04 
       3.898112542830e-03       1.223936906030e+04 
       4.019430102500e-03       1.252238498936e+04 
       4.141193739016e-03       1.280143770012e+04 
       4.263369944225e-03       1.307646271294e+04 
       4.274899807036e-03       1.310216178934e+04 
       4.385928320842e-03       1.334741285314e+04 
       4.508841258980e-03       1.361424305422e+04 
       4.632083648078e-03       1.387693475380e+04 
       4.690515066053e-03       1.399979683254e+04 
       4.755632620551e-03       1.413545349783e+04 
       4.879467323718e-03       1.438979518411e+04 
       5.003568716893e-03       1.463995339271e+04 
       5.127919390816e-03       1.488592679393e+04 
       5.150660531394e-03       1.493040870212e+04 
       5.252503406879e-03       1.512772694651e+04 
       5.377306153877e-03       1.536536020726e+04 
       5.502314220297e-03       1.559884428762e+04 
       5.627515280319e-03       1.582820531120e+04 
       5.655336203058e-03       1.587856711546e+04 
       5.752897991989e-03       1.605346170879e+04 
       5.878451906148e-03       1.627465142237e+04 
       6.004167384898e-03       1.649179647093e+04 
       6.130035528509e-03       1.670493155780e+04 
       6.204542081045e-03       1.682911165728e+04 
       6.256048109838e-03       1.691410109621e+04 
       6.382197515386e-03       1.711932898879e+04 
       6.508476692286e-03       1.732066154058e+04 
       6.634879100540e-03       1.751813875039e+04 
       6.761398669952e-03       1.771179656202e+04 
       6.813121567463e-03       1.778982580080e+04 
       6.888029761232e-03       1.790166995825e+04 
       7.014767130835e-03       1.808781043249e+04 
       7.141605899131e-03       1.827024461987e+04 
       7.268541521553e-03       1.844901255032e+04 
       7.395569762426e-03       1.862416044092e+04 
       7.481074662313e-03       1.873996773465e+04 
       7.522686671179e-03       1.879572490818e+04 
       7.649888560723e-03       1.896372576453e+04 
       7.777171987747e-03       1.912822764702e+04 
       7.904533734770e-03       1.928924242147e+04 
       8.031970793755e-03       1.944680781926e+04 
       8.159480351136e-03       1.960097557526e+04 
       8.223244767701e-03       1.967677637301e+04 
       8.287059774131e-03       1.975176947985e+04 
       8.414706598209e-03       1.989922799337e+04 
       8.542418515600e-03       2.004337718308e+04 
       8.670193364763e-03       2.018426118405e+04 
       8.798029120711e-03       2.032190922186e+04 
       8.925923886117e-03       2.045636045070e+04 
       9.024788481520e-03       2.055807771089e+04 
       9.053875883139e-03       2.058764452351e+04 
       9.181883445888e-03       2.071580254043e+04 
       9.309945013487e-03       2.084086471405e+04 
       9.438059123677e-03       2.096286893546e+04 
       9.566224406908e-03       2.108184795620e+04 
       9.694439580886e-03       2.119783829632e+04 
       9.822703445528e-03       2.131088260349e+04 
       9.900549205878e-03       2.137803893875e+04 
       9.951014878301e-03       2.142100066910e+04 
       1.007937282990e-02       2.152823567853e+04 
       1.020777632028e-02       2.163263188542e+04 
       1.033622443488e-02       2.173421456615e+04 
       1.046471632128e-02       2.183301874357e+04 
       1.059325118594e-02       2.192908541093e+04 
       1.072182829129e-02       2.202243801637e+04 
       1.085044695295e-02       2.211312097357e+04 
       1.088021374499e-02       2.213372353995e+04 
       1.097910653721e-02       2.220115890562e+04 
       1.110780645863e-02       2.228658858921e+04 
       1.123654617787e-02       2.236944425977e+04 
       1.136532519959e-02       2.244974592946e+04 
       1.149414307060e-02       2.252753746354e+04 
       1.162299937806e-02       2.260283662011e+04 
       1.175189374784e-02       2.267567897281e+04 
       1.188082584298e-02       2.274609163118e+04 
       1.193409529464e-02       2.277447981172e+04 
       1.200979536227e-02       2.281410913087e+04 
       1.213880203891e-02       2.287974614715e+04 
       1.226784563932e-02       2.294303965779e+04 
       1.239692596193e-02       2.300401420691e+04 
       1.252604283617e-02       2.306270475826e+04 
       1.265519612145e-02       2.311911961329e+04 
       1.278438570627e-02       2.317330163617e+04 
       1.291361150735e-02       2.322527569880e+04 
       1.304287346882e-02       2.327505999278e+04 
       1.310672406115e-02       2.329884954361e+04 
       1.317217156155e-02       2.332269075525e+04 
       1.330150578244e-02       2.336818015264e+04 
       1.343087615378e-02       2.341156691355e+04 
       1.356028272273e-02       2.345285653358e+04 
       1.368972556075e-02       2.349210599415e+04 
       1.381920476314e-02       2.352931909019e+04 
       1.394872044858e-02       2.356452839440e+04 
       1.407827275875e-02       2.359775762725e+04 
       1.420786185798e-02       2.362903997633e+04 
       1.433748793288e-02       2.365837446101e+04 
       1.438325664242e-02       2.366828434065e+04 
       1.446715119207e-02       2.368582432233e+04 
       1.459685186592e-02       2.371139018125e+04 
       1.472659020631e-02       2.373510605604e+04 
       1.485636648642e-02       2.375698656684e+04 
       1.498618100061e-02       2.377707374679e+04 
       1.511603406418e-02       2.379537221744e+04 
       1.524592601332e-02       2.381191502398e+04 
       1.537585720500e-02       2.382672156340e+04 
       1.550582801688e-02       2.383982049073e+04 
       1.563583884728e-02       2.385122893047e+04 
       1.573400623423e-02       2.385873772520e+04 
       1.576589011512e-02       2.386096693910e+04 
       1.589598225997e-02       2.386906078093e+04 
       1.602611574201e-02       2.387553871302e+04 
       1.615629104209e-02       2.388043097113e+04 
       1.628650866180e-02       2.388371567942e+04 
       1.641676912350e-02       2.388543872588e+04 
       1.654707297047e-02       2.388564235809e+04 
       1.667742076698e-02       2.388432251678e+04 
       1.680781309845e-02       2.388149329954e+04 
       1.693825057156e-02       2.387719817025e+04 
       1.706873381447e-02       2.387143692936e+04 
       1.719926347695e-02       2.386425115471e+04 
       1.732984023060e-02       2.385565580873e+04 
       1.736678046608e-02       2.385295978581e+04 
       1.746046476910e-02       2.384564685090e+04 
       1.759113780840e-02       2.383426752781e+04 
       1.772186008697e-02       2.382152796267e+04 
       1.785263236610e-02       2.380746787012e+04 
       1.798345543019e-02       2.379206547029e+04 
       1.811433008698e-02       2.377540352964e+04 
       1.824525716798e-02       2.375743849562e+04 
       1.837623752868e-02       2.373824924684e+04 
       1.850727204902e-02       2.371775729151e+04 
       1.863836163366e-02       2.369608897920e+04 
       1.876950721243e-02       2.367321812576e+04 
       1.890070974069e-02       2.364916196043e+04 
       1.899955469794e-02       2.363029060713e+04 
       1.903197019979e-02       2.362394951806e+04 
       1.916328959747e-02       2.359759047568e+04 
       1.929466896833e-02       2.357010479992e+04 
       1.942610937430e-02       2.354150679549e+04 
       1.955761190514e-02       2.351182938962e+04 
       1.968917767892e-02       2.348106409651e+04 
       1.982080784258e-02       2.344924124204e+04 
       1.995250357247e-02       2.341641265228e+04 
       2.008426607489e-02       2.338254581103e+04 
       2.021609658671e-02       2.334766957933e+04 
       2.034799637594e-02       2.331180762265e+04 
       2.047996674241e-02       2.327496793141e+04 
       2.061200901833e-02       2.323720945069e+04 
       2.074412456906e-02       2.319850936599e+04 
       2.087631479372e-02       2.315885587437e+04 
       2.092919697195e-02       2.314273910088e+04 
       2.100858112595e-02       2.311830411397e+04 
       2.114092503463e-02       2.307688899445e+04 
       2.127334802462e-02       2.303460384649e+04 
       2.140585163759e-02       2.299140066479e+04 
       2.153843745280e-02       2.294741688201e+04 
       2.167110708792e-02       2.290260140336e+04 
       2.180386219992e-02       2.285696787121e+04 
       2.193670448596e-02       2.281054620557e+04 
       2.206963568426e-02       2.276333067209e+04 
       2.220265757512e-02       2.271534679075e+04 
       2.233577198181e-02       2.266664281383e+04 
       2.246898077165e-02       2.261719190462e+04 
       2.260228585700e-02       2.256702915673e+04 
       2.273568919634e-02       2.251613825911e+04 
       2.286919279537e-02       2.246457834991e+04 
       2.300279870816e-02       2.241234165878e+04 
       2.300727326703e-02       2.241059587761e+04 
       2.313650903831e-02       2.235946997235e+04 
       2.327032594015e-02       2.230590235834e+04 
       2.340425162000e-02       2.225170434688e+04 
       2.353828833747e-02       2.219693410177e+04 
       2.367243840675e-02       2.214158282824e+04 
       2.380670419800e-02       2.208558025855e+04 
       2.394108813878e-02       2.202903422284e+04 
       2.407559271545e-02       2.197188424632e+04 
       2.421022047476e-02       2.191419165521e+04 
       2.434497402531e-02       2.185601668152e+04 
       2.447985603921e-02       2.179727865675e+04 
       2.461486925372e-02       2.173802815620e+04 
       2.475001647297e-02       2.167822689805e+04 
       2.488530056967e-02       2.161800584932e+04 
       2.502072448702e-02       2.155731616933e+04 
       2.515629124050e-02       2.149611093142e+04 
       2.523378358320e-02       2.146094956364e+04 
       2.529200391986e-02       2.143444975224e+04 
       2.542786569115e-02       2.137242141638e+04 
       2.556387979873e-02       2.130993216813e+04 
       2.570004956746e-02       2.124700954530e+04 
       2.583637840493e-02       2.118368875198e+04 
       2.597286980370e-02       2.111994815622e+04 
       2.610952734373e-02       2.105587623281e+04 
       2.624635469478e-02       2.099139586396e+04 
       2.638335561897e-02       2.092658996728e+04 
       2.652053397343e-02       2.086139749915e+04 
       2.665789371297e-02       2.079584264230e+04 
       2.679543889294e-02       2.073001805828e+04 
       2.693317367210e-02       2.066390832769e+04 
       2.707110231567e-02       2.059735485122e+04 
       2.720922919845e-02       2.053056143005e+04 
       2.734755880802e-02       2.046352754572e+04 
       2.748609574818e-02       2.039615486756e+04 
       2.760872792044e-02       2.033638487540e+04 
       2.762484474235e-02       2.032850576265e+04 
       2.776381063720e-02       2.026062985263e+04 
       2.790299840644e-02       2.019247676078e+04 
       2.804241315462e-02       2.012413435842e+04 
       2.818206012125e-02       2.005548832075e+04 
       2.832194468492e-02       1.998664006918e+04 
       2.846207236765e-02       1.991762424621e+04 
       2.860244883944e-02       1.984832500432e+04 
       2.874307992292e-02       1.977884206500e+04 
       2.888397159824e-02       1.970920750637e+04 
       2.902513000812e-02       1.963936215192e+04 
       2.916656146313e-02       1.956933860424e+04 
       2.930827244715e-02       1.949914964720e+04 
       2.945026962308e-02       1.942879626018e+04 
       2.959255983877e-02       1.935830188306e+04 
