# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369800523910e-10       4.142149904165e-15       3.536114047891e-13       0.000000000000e+00       8.169308923594e-09       4.430713225532e-10      -1.839407836457e-12 
    3       1.297876235927e-10       5.312299425979e-15       3.965163264365e-13       0.000000000000e+00       5.036339983557e-09       3.145641204030e-10      -1.394811679308e-12 
    4       1.229532818507e-10       4.601013687607e-15       3.706573808566e-13       0.000000000000e+00       3.505746379335e-09       2.380203624835e-10      -9.144392415680e-13 
    5       1.178427249960e-10       3.073768919950e-15       3.155743151219e-13       0.000000000000e+00       2.616468162913e-09       1.878500258914e-10      -5.098243737437e-13 
    6       1.143428323552e-10       1.719748781950e-15       2.540286861810e-13       0.000000000000e+00       2.042845845639e-09       1.527193442303e-10      -2.114134704115e-13 
    7       1.120635215515e-10       9.276273437742e-16       1.993218695784e-13       0.000000000000e+00       1.646366710995e-09       1.269259500566e-10      -2.077877879026e-14 
    8       1.107453425518e-10       5.958090291085e-16       1.572693824939e-13       0.000000000000e+00       1.358392104196e-09       1.073893046583e-10       7.681513209662e-14 
    9       1.101604851141e-10       4.767485123884e-16       1.291445830858e-13       0.000000000000e+00       1.141881932028e-09       9.228899736709e-11       1.045092734929e-13 
   10       1.100523477874e-10       4.062263912638e-16       1.136172549322e-13       0.000000000000e+00       9.748666503692e-10       8.036510489795e-11       8.802659413963e-14 
   11       1.103899568770e-10       3.418597552599e-16       1.080191515608e-13       0.000000000000e+00       8.228262158677e-10       7.107386379187e-11       5.144319159636e-14 
   12       1.110152925755e-10       2.983768564868e-16       1.092495448178e-13       0.000000000000e+00       7.185594785189e-10       6.281090888388e-11       1.215612192915e-14 
   13       1.118606884802e-10       2.865897022582e-16       1.146262358867e-13       0.000000000000e+00       6.330054859235e-10       5.612356425296e-11      -1.778171253919e-14 
   14       1.129352923533e-10       2.987908851739e-16       1.221574295392e-13       0.000000000000e+00       5.618627029766e-10       5.037377831526e-11      -3.406989568260e-14 
   15       1.141772986228e-10       3.235429078587e-16       1.304616555864e-13       0.000000000000e+00       5.020063380074e-10       4.549501881236e-11      -3.703087803338e-14 
   16       1.155187946451e-10       3.585347534430e-16       1.389085315692e-13       0.000000000000e+00       4.511371467410e-10       4.127854089016e-11      -3.048735213228e-14 
   17       1.169870418423e-10       4.091170919086e-16       1.473856252709e-13       0.000000000000e+00       4.075191608818e-10       3.759392586214e-11      -1.956695749581e-14 
   18       1.185379474948e-10       4.805609580916e-16       1.560040017365e-13       0.000000000000e+00       3.696777096190e-10       3.440109674541e-11      -9.109803047756e-15 
   19       1.201861073557e-10       5.732144292968e-16       1.649639524646e-13       0.000000000000e+00       3.370066283871e-10       3.164708681013e-11      -1.720447279930e-15 
   20       1.219172254471e-10       6.851605576033e-16       1.744569030613e-13       0.000000000000e+00       3.082432458747e-10       2.919605784668e-11       8.665105196513e-16 
   21       1.237213374953e-10       8.158114035658e-16       1.844641755860e-13       0.000000000000e+00       2.829328520256e-10       2.700008403851e-11      -7.984855460731e-16 
   22       1.255620091957e-10       9.647060497999e-16       1.948147343338e-13       0.000000000000e+00       2.604668224898e-10       2.501024058780e-11      -4.978895404880e-15 
   23       1.274561418477e-10       1.131954145722e-15       2.051517193504e-13       0.000000000000e+00       2.405343965212e-10       2.323192813673e-11      -9.916452073171e-15 
   24       1.294137998602e-10       1.317726598804e-15       2.150192253063e-13       0.000000000000e+00       2.226730046567e-10       2.166064272027e-11      -1.373727935044e-14 
   25       1.314244419895e-10       1.522456520222e-15       2.241366394272e-13       0.000000000000e+00       2.066711662951e-10       2.025426667311e-11      -1.564236518841e-14 
   26       1.334590662929e-10       1.746807404875e-15       2.322864558953e-13       0.000000000000e+00       1.922378247916e-10       1.895027595637e-11      -1.534126075972e-14 
   27       1.355277120500e-10       1.992467153171e-15       2.393917641312e-13       0.000000000000e+00       1.791988610321e-10       1.775275527908e-11      -1.344840266101e-14 
   28       1.376417431645e-10       2.261459677094e-15       2.454419347098e-13       0.000000000000e+00       1.673285388523e-10       1.667607763102e-11      -1.094661207301e-14 
   29       1.398073051097e-10       2.555242504899e-15       2.504758899326e-13       0.000000000000e+00       1.565656760989e-10       1.571379154991e-11      -8.456974965877e-15 
   30       1.420152810364e-10       2.875120543054e-15       2.545770326362e-13       0.000000000000e+00       1.467941192967e-10       1.484079135908e-11      -6.596834308301e-15 
   31       1.442462132712e-10       3.222342162250e-15       2.578358808733e-13       0.000000000000e+00       1.378138175814e-10       1.402429196593e-11      -5.940462772614e-15 
   32       1.465050305694e-10       3.597833691732e-15       2.602223315755e-13       0.000000000000e+00       1.295780064053e-10       1.326133808110e-11      -6.345554934179e-15 
   33       1.487967538292e-10       4.002352197497e-15       2.616654896781e-13       0.000000000000e+00       1.220280864181e-10       1.255388682680e-11      -7.362949616337e-15 
   34       1.511188206114e-10       4.436611003353e-15       2.620759810283e-13       0.000000000000e+00       1.150579583963e-10       1.189986517548e-11      -8.478884976280e-15 
   35       1.534700364503e-10       4.901511015615e-15       2.613120862580e-13       0.000000000000e+00       1.086316603085e-10       1.129785368345e-11      -9.391904303710e-15 
   36       1.558429419701e-10       5.397982516337e-15       2.591989970453e-13       0.000000000000e+00       1.026973367638e-10       1.074320733462e-11      -9.823679232152e-15 
   37       1.582264745924e-10       5.926901683991e-15       2.555746667450e-13       0.000000000000e+00       9.717741202352e-11       1.022858749087e-11      -9.541160622333e-15 
   38       1.606266157903e-10       6.489023166679e-15       2.504229496880e-13       0.000000000000e+00       9.205747746469e-11       9.751580682698e-12      -8.694485926054e-15 
   39       1.630514447000e-10       7.085018463797e-15       2.437849420389e-13       0.000000000000e+00       8.732117761642e-11       9.309037079117e-12      -7.594222596326e-15 
   40       1.655049935921e-10       7.715488142588e-15       2.357251706161e-13       0.000000000000e+00       8.292317881022e-11       8.894693013569e-12      -6.627256633677e-15 
   41       1.679880988347e-10       8.380996348670e-15       2.263067470602e-13       0.000000000000e+00       7.880493226289e-11       8.501320535408e-12      -6.155440532128e-15 
   42       1.705024479822e-10       9.082198809445e-15       2.155036727992e-13       0.000000000000e+00       7.495420910422e-11       8.128651423872e-12      -6.159991898048e-15 
   43       1.730470372320e-10       9.819748825959e-15       2.032623879687e-13       0.000000000000e+00       7.136069298779e-11       7.777588957971e-12      -6.489641564453e-15 
   44       1.756165670564e-10       1.059425996016e-14       1.895252076951e-13       0.000000000000e+00       6.799811662161e-11       7.447921401260e-12      -6.954601355341e-15 
   45       1.782043082018e-10       1.140630114561e-14       1.742356248788e-13       0.000000000000e+00       6.483362167599e-11       7.138657370112e-12      -7.368528989261e-15 
   46       1.808126444628e-10       1.225638470532e-14       1.573570087809e-13       0.000000000000e+00       6.186216632010e-11       6.849381891767e-12      -7.694985092802e-15 
   47       1.834450154935e-10       1.314497155486e-14       1.388588470831e-13       0.000000000000e+00       5.908024516914e-11       6.579139445757e-12      -7.940717575338e-15 
   48       1.861027339612e-10       1.407247190199e-14       1.187114935689e-13       0.000000000000e+00       5.647551314017e-11       6.325965088916e-12      -8.115292921812e-15 
   49       1.887847814655e-10       1.503924319393e-14       9.688611368419e-14       0.000000000000e+00       5.402612836325e-11       6.086811631468e-12      -8.231272824296e-15 
   50       1.914892063434e-10       1.604556274411e-14       7.335389984190e-14       0.000000000000e+00       5.170732007529e-11       5.858431242613e-12      -8.304813185116e-15 
   51       1.942182378517e-10       1.709154161522e-14       4.808359253272e-14       0.000000000000e+00       4.951471847387e-11       5.640471332536e-12      -8.357243021978e-15 
   52       1.969742074049e-10       1.817718381248e-14       2.104319224597e-14       0.000000000000e+00       4.744622167014e-11       5.433093131979e-12      -8.414219457281e-15 
   53       1.997579423725e-10       1.930240639398e-14      -7.799455781050e-15       0.000000000000e+00       4.549501461497e-11       5.236063461810e-12      -8.505534650342e-15 
   54       2.025686373809e-10       2.046703622638e-14      -3.847675036754e-14       0.000000000000e+00       4.364925200930e-11       5.048726823440e-12      -8.665312305273e-15 
   55       2.054048684558e-10       2.167087873975e-14      -7.101578974970e-14       0.000000000000e+00       4.189566507479e-11       4.870270621922e-12      -8.921321180545e-15 
   56       2.082682253082e-10       2.291395162556e-14      -1.054199212337e-13       0.000000000000e+00       4.023215753204e-11       4.700661929373e-12      -9.259356638802e-15 
   57       2.111603559615e-10       2.419630351172e-14      -1.416827636281e-13       0.000000000000e+00       3.865778332629e-11       4.539894547870e-12      -9.650354908332e-15 
   58       2.140818206281e-10       2.551794662054e-14      -1.797933112772e-13       0.000000000000e+00       3.716893628275e-11       4.387700135652e-12      -1.006027828620e-14 
   59       2.170320075374e-10       2.687885632968e-14      -2.197358033797e-13       0.000000000000e+00       3.575918589461e-11       4.243531718286e-12      -1.044988763318e-14 
   60       2.200090487643e-10       2.827897073301e-14      -2.614895933091e-13       0.000000000000e+00       3.441911311103e-11       4.106547199844e-12      -1.077451486875e-14 
   61       2.230108809659e-10       2.971810269687e-14      -3.050331388347e-13       0.000000000000e+00       3.313892211471e-11       3.975845065462e-12      -1.099439492726e-14 
   62       2.260388962405e-10       3.119565395461e-14      -3.503573150390e-13       0.000000000000e+00       3.191733220732e-11       3.851270615227e-12      -1.110888633150e-14 
   63       2.290949651084e-10       3.271083576629e-14      -3.974548713322e-13       0.000000000000e+00       3.075439948927e-11       3.732762262009e-12      -1.112956303932e-14 
   64       2.321803170172e-10       3.426274760865e-14      -4.463165743087e-13       0.000000000000e+00       2.964884236619e-11       3.620106990129e-12      -1.107043819258e-14 
   65       2.352954924973e-10       3.585037395963e-14      -4.969312078194e-13       0.000000000000e+00       2.859796541700e-11       3.512931868378e-12      -1.094807165574e-14 
   66       2.384402953169e-10       3.747258108280e-14      -5.492855730447e-13       0.000000000000e+00       2.759758326193e-11       3.410695563027e-12      -1.078167755464e-14 
   67       2.416137446374e-10       3.912811381181e-14      -6.033644885672e-13       0.000000000000e+00       2.664194443055e-11       3.312679850848e-12      -1.059323181509e-14 
   68       2.448147813625e-10       4.081571868864e-14      -6.591506927370e-13       0.000000000000e+00       2.572526545628e-11       3.218178916020e-12      -1.040317982993e-14 
   69       2.480446603335e-10       4.253454953965e-14      -7.166245276336e-13       0.000000000000e+00       2.484686430069e-11       3.127130752222e-12      -1.021630911888e-14 
   70       2.513049591323e-10       4.428383868094e-14      -7.757641909027e-13       0.000000000000e+00       2.400693510854e-11       3.039599040670e-12      -1.003319413236e-14 
   71       2.545968387316e-10       4.606277785163e-14      -8.365458254147e-13       0.000000000000e+00       2.320499569170e-11       2.955583319077e-12      -9.854337943590e-15 
