# Matter power spectrum P(k) at redshift z=0
# for k=1.04909e-05 to 1.70209 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049092400193e-05       4.765461846900e+01 
       2.341621606753e-05       1.034353023211e+02 
       3.638728874698e-05       1.582822641704e+02 
       4.943928311290e-05       2.127703110918e+02 
       6.260792556602e-05       2.672296824543e+02 
       7.592984858605e-05       3.219097314261e+02 
       8.944292180774e-05       3.770249991162e+02 
       1.031865978536e-04       4.327740332626e+02 
       1.172022773883e-04       4.893491101729e+02 
       1.315336978934e-04       5.469421585575e+02 
       1.462273506659e-04       6.057488757955e+02 
       1.484340210776e-04       6.145606033327e+02 
       1.613329304808e-04       6.659719827428e+02 
       1.632774231854e-04       6.737083000509e+02 
       1.769038221673e-04       7.278241182955e+02 
       1.796051655039e-04       7.385325877196e+02 
       1.929976279625e-04       7.915302146607e+02 
       1.959329078225e-04       8.031260583667e+02 
       2.096767388128e-04       8.573300544425e+02 
       2.152293305626e-04       8.791874003221e+02 
       2.270089516685e-04       9.254808415913e+02 
       2.360100935134e-04       9.607872690656e+02 
       2.450681330699e-04       9.962594482012e+02 
       2.597595368859e-04       1.053673843664e+03 
       2.639349267402e-04       1.069965197420e+03 
       2.836974991793e-04       1.146921963356e+03 
       2.849933204691e-04       1.151959375826e+03 
       3.044523120705e-04       1.227480915255e+03 
       3.131957844738e-04       1.261340730960e+03 
       3.263049032530e-04       1.312022872728e+03 
       3.443669289001e-04       1.381692412846e+03 
       3.493706486772e-04       1.400960393185e+03 
       3.737754657526e-04       1.494739049752e+03 
       3.770224135372e-04       1.507191462273e+03 
       3.996564035708e-04       1.593839224947e+03 
       4.141309188066e-04       1.649109542923e+03 
       4.271620476908e-04       1.698775650782e+03 
       4.556924447083e-04       1.807212978220e+03 
       4.564526471095e-04       1.810096735933e+03 
       4.876998501893e-04       1.928381268652e+03 
       5.002226510316e-04       1.975650785305e+03 
       5.210859174226e-04       2.054233483153e+03 
       5.477215377765e-04       2.154253679078e+03 
       5.568022663846e-04       2.188275674044e+03 
       5.950472042645e-04       2.331136812557e+03 
       6.026421255752e-04       2.359425294016e+03 
       6.360227237235e-04       2.483438406541e+03 
       6.605313937955e-04       2.574162673369e+03 
       6.799302866659e-04       2.645776195935e+03 
       7.258423630696e-04       2.814581047850e+03 
       7.269656041844e-04       2.818698894410e+03 
       7.773125405792e-04       3.002683786833e+03 
       7.970906931869e-04       3.074647117051e+03 
       8.311364169609e-04       3.198111449757e+03 
       8.742763841472e-04       3.353810162723e+03 
       8.885771454004e-04       3.405240316919e+03 
       9.497427559311e-04       3.624184244562e+03 
       9.603681163723e-04       3.662048414645e+03 
       1.014703947638e-03       3.854895802828e+03 
       1.053881549651e-03       3.993132764264e+03 
       1.083490268133e-03       4.097156323368e+03 
       1.156088387999e-03       4.350575631415e+03 
       1.157785364406e-03       4.356471713067e+03 
       1.232442702395e-03       4.614600223306e+03 
       1.270595220425e-03       4.745565288604e+03 
       1.312458204702e-03       4.888531341045e+03 
       1.395279798130e-03       5.169082044965e+03 
       1.396005298513e-03       5.171525698764e+03 
       1.482926004242e-03       5.462683138975e+03 
       1.528870417100e-03       5.615245721966e+03 
       1.573040913184e-03       5.761048104199e+03 
       1.666156251923e-03       6.065624125241e+03 
       1.677304438177e-03       6.101836707323e+03 
       1.762070521362e-03       6.375415807234e+03 
       1.840581861363e-03       6.626039715419e+03 
       1.860580328990e-03       6.689453303393e+03 
       1.961485199789e-03       7.006800388897e+03 
       2.033546088764e-03       7.230771926126e+03 
       2.064591299558e-03       7.326584261805e+03 
       2.169714116732e-03       7.647989461552e+03 
       2.226510316164e-03       7.819709518886e+03 
       2.276680220769e-03       7.970275475991e+03 
       2.385328250883e-03       8.292767511206e+03 
       2.449161347781e-03       8.479975422895e+03 
       2.495509297183e-03       8.614861418345e+03 
       2.607086826381e-03       8.936018430226e+03 
       2.686655781505e-03       9.161993152834e+03 
       2.719936284493e-03       9.255760168695e+03 
       2.833944485330e-03       9.573669198985e+03 
       2.938993617337e-03       9.862100425668e+03 
       2.949008870120e-03       9.889374931150e+03 
       3.065036702438e-03       1.020256015403e+04 
       3.181944244826e-03       1.051294496040e+04 
       3.235861659492e-03       1.065436308256e+04 
       3.299655949184e-03       1.082028931369e+04 
       3.418103681928e-03       1.112438731182e+04 
       3.537225996694e-03       1.142506012356e+04 
       3.547573103755e-03       1.145093638400e+04 
       3.656967461342e-03       1.172216344300e+04 
       3.777278041854e-03       1.201556344778e+04 
       3.888971352234e-03       1.228342445712e+04 
       3.898112542830e-03       1.230515575319e+04 
       4.019430102500e-03       1.259085216434e+04 
       4.141193739016e-03       1.287258122793e+04 
       4.263369944225e-03       1.315028297554e+04 
       4.274899807036e-03       1.317623438612e+04 
       4.385928320842e-03       1.342391477812e+04 
       4.508841258980e-03       1.369343600562e+04 
       4.632083648078e-03       1.395883233094e+04 
       4.690515066053e-03       1.408298008631e+04 
       4.755632620551e-03       1.422007267968e+04 
       4.879467323718e-03       1.447715576457e+04 
       5.003568716893e-03       1.473007694634e+04 
       5.127919390816e-03       1.497883557122e+04 
       5.150660531394e-03       1.502382862976e+04 
       5.252503406879e-03       1.522344294562e+04 
       5.377306153877e-03       1.546390399590e+04 
       5.502314220297e-03       1.570023391777e+04 
       5.627515280319e-03       1.593245550788e+04 
       5.655336203058e-03       1.598345392869e+04 
       5.752897991989e-03       1.616058282787e+04 
       5.878451906148e-03       1.638464893118e+04 
       6.004167384898e-03       1.660467039344e+04 
       6.130035528509e-03       1.682067608267e+04 
       6.204542081045e-03       1.694654875934e+04 
       6.256048109838e-03       1.703270458309e+04 
       6.382197515386e-03       1.724077387871e+04 
       6.508476692286e-03       1.744492465221e+04 
       6.634879100540e-03       1.764519181587e+04 
       6.761398669952e-03       1.784160654134e+04 
       6.813121567463e-03       1.792075168795e+04 
       6.888029761232e-03       1.803419987076e+04 
       7.014767130835e-03       1.822302006564e+04 
       7.141605899131e-03       1.840809129694e+04 
       7.268541521553e-03       1.858945193330e+04 
       7.395569762426e-03       1.876714757827e+04 
       7.481074662313e-03       1.888464342348e+04 
       7.522686671179e-03       1.894121478328e+04 
       7.649888560723e-03       1.911167395267e+04 
       7.777171987747e-03       1.927859131288e+04 
       7.904533734770e-03       1.944198050310e+04 
       8.031970793755e-03       1.960188151638e+04 
       8.159480351136e-03       1.975834889768e+04 
       8.223244767701e-03       1.983528656839e+04 
       8.287059774131e-03       1.991140911760e+04 
       8.414706598209e-03       2.006110352325e+04 
       8.542418515600e-03       2.020746072774e+04 
       8.670193364763e-03       2.035052763669e+04 
       8.798029120711e-03       2.049033563602e+04 
       8.925923886117e-03       2.062692582379e+04 
       9.024788481520e-03       2.073028236907e+04 
       9.053875883139e-03       2.076032927923e+04 
       9.181883445888e-03       2.089058817049e+04 
       9.309945013487e-03       2.101773321629e+04 
       9.438059123677e-03       2.114180235949e+04 
       9.566224406908e-03       2.126282794784e+04 
       9.694439580886e-03       2.138084566353e+04 
       9.822703445528e-03       2.149589704021e+04 
       9.900549205878e-03       2.156426051639e+04 
       9.951014878301e-03       2.160800023693e+04 
       1.007937282990e-02       2.171719680777e+04 
       1.020777632028e-02       2.182352918597e+04 
       1.033622443488e-02       2.192702060556e+04 
       1.046471632128e-02       2.202770418663e+04 
       1.059325118594e-02       2.212561910628e+04 
       1.072182829129e-02       2.222078705745e+04 
       1.085044695295e-02       2.231325104170e+04 
       1.088021374499e-02       2.233426063253e+04 
       1.097910653721e-02       2.240303437874e+04 
       1.110780645863e-02       2.249017297756e+04 
       1.123654617787e-02       2.257470048946e+04 
       1.136532519959e-02       2.265663653683e+04 
       1.149414307060e-02       2.273602517403e+04 
       1.162299937806e-02       2.281288439894e+04 
       1.175189374784e-02       2.288725046341e+04 
       1.188082584298e-02       2.295915141451e+04 
       1.193409529464e-02       2.298814430276e+04 
       1.200979536227e-02       2.302862289272e+04 
       1.213880203891e-02       2.309568073944e+04 
       1.226784563932e-02       2.316036341325e+04 
       1.239692596193e-02       2.322269680997e+04 
       1.252604283617e-02       2.328271743071e+04 
       1.265519612145e-02       2.334043475578e+04 
       1.278438570627e-02       2.339589308789e+04 
       1.291361150735e-02       2.344911841432e+04 
       1.304287346882e-02       2.350012987399e+04 
       1.310672406115e-02       2.352451683787e+04 
       1.317217156155e-02       2.354896455080e+04 
       1.330150578244e-02       2.359563507859e+04 
       1.343087615378e-02       2.364018068869e+04 
       1.356028272273e-02       2.368260684832e+04 
       1.368972556075e-02       2.372297080212e+04 
       1.381920476314e-02       2.376127594629e+04 
       1.394872044858e-02       2.379755453971e+04 
       1.407827275875e-02       2.383182978311e+04 
       1.420786185798e-02       2.386413439737e+04 
       1.433748793288e-02       2.389446647159e+04 
       1.438325664242e-02       2.390472265073e+04 
       1.446715119207e-02       2.392288898218e+04 
       1.459685186592e-02       2.394940165430e+04 
       1.472659020631e-02       2.397403802142e+04 
       1.485636648642e-02       2.399681206684e+04 
       1.498618100061e-02       2.401776558623e+04 
       1.511603406418e-02       2.403690273931e+04 
       1.524592601332e-02       2.405425649313e+04 
       1.537585720500e-02       2.406984621089e+04 
       1.550582801688e-02       2.408370073494e+04 
       1.563583884728e-02       2.409583742694e+04 
       1.573400623423e-02       2.410387812395e+04 
       1.576589011512e-02       2.410627673192e+04 
